chain,phase,acceptance
0,pilot,0.5885714285714285
1,pilot,0.6314285714285715
2,pilot,0.5771428571428572
3,pilot,0.5685714285714286
0,final,0.3472727272727273
1,final,0.36363636363636365
2,final,0.33
3,final,0.3327272727272727
