z,delta_dvch,delta_lcdm,f_dvch,f_lcdm,fsigma8_dvch,fsigma8_lcdm
100.00000000000003,0.013989607785786038,0.012858370085121966,1.0,1.0,0.010428138139033916,0.010428138139033915
99.070183851594,0.014119558605196484,0.012977829279765592,0.9994951538128637,0.9997322542848928,0.01051969261331821,0.010522201517005064
98.14892768407735,0.014250655960821878,0.013098366376043202,0.9990428745687958,0.9994729832084773,0.010612561473591884,0.010617176750104446
97.2361526934061,0.014382911319304095,0.013219991818256342,0.9986048695248592,0.9992219728207614,0.010706356958499138,0.010713071813608378
96.33178080101393,0.01451633622596247,0.013342716142115216,0.9981807802876568,0.9989790142777244,0.01080108686785452,0.010809894763164008
95.43573464713366,0.014650942323396416,0.013466549975659043,0.997770257010668,0.9987439037182106,0.010896759083158354,0.010907653735460238
94.54793758418016,0.014786741352504806,0.013591504040184065,0.9973729581753841,0.998516442143989,0.010993381568166316,0.01100635694890569
93.66831367019341,0.01492374515351299,0.013717589151179493,0.9969885504148431,0.9982964353028707,0.011090962369867906,0.011106012704313746
92.79678766234271,0.015061965667006514,0.013844816219271127,0.9966167083063984,0.9980836935748121,0.011189509619080003,0.011206629385594614
91.93328501049065,0.01520141493497466,0.013973196251172963,0.9962571141513689,0.9978780318609135,0.011289031530833908,0.011308215460454612
91.07773185081567,0.015342105101862628,0.014102740350646906,0.9959094577995302,0.9976792694752159,0.011389536405206086,0.011410779481102598
90.23005499949392,0.015484048415630504,0.014233459719470468,0.995573436488613,0.9974872300392306,0.011491032628277574,0.011514330084963595
89.39018194643947,0.015627257228821113,0.014365365658412664,0.9952487546304504,0.9973017413791477,0.01159352867243689,0.011618875995400043
88.55804084910127,0.015771743999637804,0.014498469568218271,0.9949351236336559,0.9971226354256002,0.011697033097042234,0.01172442602244023
87.73356052631802,0.015917521293029785,0.014632782950600325,0.9946322617652842,0.9969497481159316,0.011801554549495533,0.01183098906351407
86.91667045222955,0.016064601781785114,0.014768317409241036,0.9943398939688516,0.9967829192989254,0.011907101765767033,0.011938574104196619
86.10730075024368,0.016212998247634308,0.014905084650801382,0.9940577516827295,0.9966219926418916,0.012013683570869564,0.012047190218959154
85.30538218705908,0.016362723582362744,0.015043096485939145,0.9937855727015769,0.9964668155400548,0.012121308879799708,0.012156846571927718
84.51084616674342,0.016513790788930248,0.015182364830335696,0.9935231010402925,0.9963172390281889,0.012229986698477644,0.01226755241764946
83.72362472486519,0.0166662129826008,0.015322901705731638,0.9932700867504581,0.996173117694438,0.012339726124066972,0.01237931710186685
82.94365052268024,0.01682000339208224,0.015464719240971234,0.9930262857772437,0.996034309596249,0.012450536345737916,0.012492150062299576
82.17085684137193,0.016975175360673955,0.015607829673055766,0.9927914598504133,0.9959006761783807,0.01256242664582229,0.012606060829434393
81.40517757634348,0.017131742347423203,0.015752245348206084,0.9925653763222025,0.9957720821929131,0.012675406400273018,0.012721059027323008
80.64654723156369,0.01728971792829252,0.015897978722934178,0.9923478080180109,0.9956483956212031,0.012789485079235148,0.012837154374387755
79.89490091396465,0.017449115797336275,0.01604504236512399,0.9921385331283211,0.9955294875977733,0.012904672248105072,0.01295435668423576
79.1501743278903,0.01760994976788511,0.016193448955121675,0.9919373350897409,0.995415232336009,0.013020977568425681,0.013072675866480818
78.41230376959686,0.017772233773741156,0.016343211286835167,0.991744002427666,0.9953055070556992,0.013138410798245041,0.013192121927573902
77.68122612180383,0.017935981870383873,0.016494342268843238,0.9915583286419674,0.9952001919122998,0.013256981792992707,0.01331270497164158
76.95687884829452,0.0181012082361841,0.016646854925514317,0.9913801121195732,0.9950991699279352,0.013376700506689076,0.013434435201333238
76.23919998856697,0.018267927173627668,0.01680076239813486,0.9912091559891364,0.9950023269240372,0.013497576992355959,0.013557322918676305
75.52812815253398,0.018436153110550746,0.016956077946047577,0.9910452679986146,0.9949095514556163,0.013619621402689252,0.013681378525940167
74.82360251527142,0.018605900601384708,0.01711281494779964,0.9908882604325525,0.9948207347471238,0.01374284399124298,0.01380661252650886
74.12556281181578,0.018777184328409267,0.017270986902300733,0.9907379500045989,0.9947357706298243,0.01386725511325537,0.013933035525761953
73.43394933200868,0.018950019103017662,0.01743060742999139,0.9905941577232593,0.9946545554806916,0.013992865226068348,0.014060658231964623
72.74870291538943,0.01912441986699265,0.01759169027402137,0.99045670880249,0.9945769881627432,0.01411968489013462,0.014189491457166107
72.0697649461347,0.019300401693790922,0.017754249301438336,0.9903254325888731,0.9945029699668148,0.014247724770243105,0.014319546118107266
71.39707734804412,0.019477979789838448,0.017918298504387087,0.9902001624315783,0.9944324045547046,0.014376995635907422,0.01445083323713701
70.73058257957265,0.01965716949583801,0.018083852001319158,0.9900807355825232,0.9943651979036828,0.014507508362145056,0.014583363943137789
70.0702236289087,0.019837986288086244,0.018250924038212993,0.9899669931343955,0.9943012582522985,0.014639273930784912,0.014717149472459926
69.41594400909695,0.02002044577980024,0.01841952898980502,0.9898587799208103,0.994240496047483,0.014772303431207808,0.014852201169865423
68.76768775320666,0.02020456372245667,0.01858968136083134,0.9897559444026801,0.9941828238929002,0.014906608060847829,0.0149885304894808
68.12539940954447,0.020390356007142216,0.01876139578728038,0.9896583386006815,0.9941281564985123,0.015042199126349017,0.015126148995759228
67.4890240369107,0.020577838665913013,0.01893468703765667,0.9895658180311295,0.9940764106313366,0.015179088044764042,0.015265068364452187
66.85850719989988,0.020767027873165884,0.01910957001425567,0.9894782415905335,0.9940275050673525,0.015317286343952411,0.015405300383590349
66.2337949642445,0.020957939947022358,0.019286059754449768,0.9893954714751804,0.9939813605445552,0.015456805663476037,0.015546856954474244
65.61483389220118,0.021150591350722694,0.019464171431985856,0.9893173731353222,0.9939378997170892,0.015597657756016606,0.015689750092674367
65.0015710379798,0.021344998694030042,0.019643920358294167,0.9892438151808699,0.9938970471104649,0.015739854488026582,0.015833991929040975
64.39395394321464,0.02154117873464825,0.019825321983808687,0.989174669286363,0.9938587290778338,0.015883407840333538,0.01597959471072381
63.791930632476806,0.021739148379651317,0.020008391899299403,0.9891098101422826,0.9938228737572598,0.016028329909456726,0.016126570802201423
63.19544960882844,0.0219389246869222,0.020193145837216202,0.9890491153955367,0.9937894110300063,0.0161746329087458,0.016274932686320603
62.6044598494178,0.02214052486660477,0.020379599673044677,0.9889924655480287,0.9937582724797869,0.016322329168819566,0.016424692965345666
62.018910801114515,0.022343966282569128,0.02056776942667413,0.9889397438932301,0.9937293913529758,0.01647143113859086,0.016575864362018213
61.4387523761854,0.022549266453886944,0.020757671263777523,0.9888908364823059,0.9937027025197245,0.016621951386771597,0.01672845972062655
60.86393494801013,0.02275644305631815,0.02094932149720374,0.9888456320343554,0.9936781424359828,0.016773902602440844,0.016882492008085486
60.29440934683588,0.02296551392381244,0.021142736588382324,0.9888040218584764,0.9936556491064104,0.01692729759577638,0.017037974315026676
59.73012685557149,0.02317649705002223,0.02133793314874056,0.9887658998209191,0.9936351620481401,0.01708214929953325,0.0171949198568992
59.17103920562043,0.02338941058982594,0.02153492794113319,0.9887311622872408,0.9936166222553802,0.017238470770095098,0.017353341975080615
58.617098572751544,0.023604272860865826,0.02173373788128502,0.9886997080345109,0.9935999721648408,0.01739627518798611,0.017513254137998906
58.06825757300834,0.023821102345099297,0.021934380039246186,0.9886714382031099,0.9935851556219395,0.017555575859042823,0.017674669942264565
57.52446925865597,0.024039917690360704,0.022136871640860444,0.9886462562706567,0.9935721178478023,0.01771638621597397,0.017837603113813813
56.985687114164975,0.02426073771193611,0.022341230069246695,0.9886240679669305,0.9935608054070155,0.01787871981886764,0.018002067509062573
56.45186505223255,0.024483581394153242,0.022547472866293543,0.9886047812115408,0.9935511661761255,0.018042590356070944,0.018168077116071334
55.92295740984037,0.024708467891983374,0.022755617734167233,0.9885883060939333,0.9935431493128548,0.01820801164582521,0.018335646055720974
55.39891894434831,0.02493541653265467,0.022965682536833208,0.9885745548155251,0.9935367052260263,0.018374997637214494,0.018504788582899757
54.87970482962452,0.025164446817281003,0.02317768530159114,0.9885634416151142,0.9935317855461808,0.018543562410781853,0.018675519087701545
54.36527065221119,0.02539557842250491,0.02339164422062364,0.9885548827343754,0.9935283430968614,0.01871372017986658,0.018847852096635087
53.85557240752509,0.02562883120215151,0.02360757765255901,0.9885487963958232,0.9935263318665534,0.018885485292179413,0.01902180227384484
