k,P_k
0.0001,0.023267562103998562
0.00010595601792776158,0.024606057659292174
0.00011226677735108136,0.026021512695473755
0.00011895340673703195,0.027518344822011067
0.00012603829296797275,0.029101223854128788
0.00013354515629298989,0.030775085954081564
0.00014149912974345758,0.032545148516846874
0.00014992684327860457,0.03441692583013995
0.00015885651294280528,0.03639624553796361
0.00016831803533309567,0.038489265935731744
0.00017834308769319092,0.040702494123233186
0.00018896523396912096,0.04304280503920193
0.00020022003718155845,0.04551746139787562
0.00021214517849106298,0.04813413454346576
0.00022478058335487252,0.050900926232714486
0.00023816855519761583,0.05382639134840629
0.00025235391704347656,0.05691956153753055
0.0002673841615839947,0.06018996975638348
0.0002833096101839324,0.06364767569082104
0.0003001835813575589,0.06730329200261598
0.0003180625692794119,0.0711680113318288
0.00033700643292719284,0.0752536339595666
0.00035707859649004625,0.07957259600464392
0.0003783462617131929,0.08413799799050668
0.00040088063288984643,0.0889636335741981
0.00042475715525368984,0.09406401817582065
0.00045005576757004977,0.09945441718334588
0.00047686116977144693,0.10515087333198853
0.0005052631065335679,0.1111702327676543
0.0005353566677410725,0.11753016919787482
0.0005672426068491978,0.12424920540851804
0.0006010276782070381,0.13134673127742663
0.0006368249944718586,0.13884301724364945
0.0006747544053110693,0.14675922198940744
0.0007149428986597577,0.15511739285733128
0.0007575250258771912,0.1639404572534921
0.0008026433522257174,0.17325220297277524
0.0008504489341802677,0.1830772450225865
0.0009011018251665018,0.19344097610924582
0.0009547716114208056,0.20436949748467242
0.001011637979766207,0.21588952632594147
0.0010718913192051286,0.22802827523536662
0.001135733358343105,0.24081329880463223
0.0012033778407775904,0.2542723014873381
0.0012750512407130128,0.2684329002791837
0.0013509935211980279,0.2833223349297844
0.0014314589375234786,0.29896711762963407
0.001516716888470924,0.3153926133669618
0.0016070528182616384,0.33262254148428017
0.0017027691722259013,0.35067838845489296
0.0018041864093920718,0.3695787216405336
0.0019116440753857036,0.389338393906125
0.002025501939230666,0.40996762961206556
0.0021461411978584057,0.43147098387035976
0.0022739657523579274,0.4538461692671005
0.0024094035602395267,0.47708274778451676
0.0025529080682395165,0.5011606906923328
