z,Q,w_eff
5.145444e-02,-1.359656e+01,-9.100413e-01
5.314359e-02,-1.361521e+01,-9.100414e-01
5.488820e-02,-1.363451e+01,-9.100416e-01
5.669007e-02,-1.365447e+01,-9.100418e-01
5.855110e-02,-1.367511e+01,-9.100420e-01
6.047322e-02,-1.369646e+01,-9.100422e-01
6.245845e-02,-1.371854e+01,-9.100424e-01
6.450884e-02,-1.374139e+01,-9.100426e-01
6.662655e-02,-1.376502e+01,-9.100428e-01
6.881377e-02,-1.378947e+01,-9.100431e-01
7.107280e-02,-1.381477e+01,-9.100433e-01
7.340598e-02,-1.384094e+01,-9.100435e-01
7.581576e-02,-1.386802e+01,-9.100438e-01
7.830465e-02,-1.389605e+01,-9.100441e-01
8.087525e-02,-1.392505e+01,-9.100443e-01
8.353023e-02,-1.395506e+01,-9.100446e-01
8.627237e-02,-1.398612e+01,-9.100449e-01
8.910453e-02,-1.401827e+01,-9.100452e-01
9.202967e-02,-1.405155e+01,-9.100455e-01
9.505083e-02,-1.408601e+01,-9.100459e-01
9.817117e-02,-1.412167e+01,-9.100462e-01
1.013939e-01,-1.415860e+01,-9.100466e-01
1.047225e-01,-1.419684e+01,-9.100469e-01
1.081604e-01,-1.423643e+01,-9.100473e-01
1.117111e-01,-1.427744e+01,-9.100477e-01
1.153783e-01,-1.431991e+01,-9.100481e-01
1.191660e-01,-1.436389e+01,-9.100486e-01
1.230780e-01,-1.440946e+01,-9.100490e-01
1.271184e-01,-1.445667e+01,-9.100495e-01
1.312915e-01,-1.450558e+01,-9.100500e-01
1.356015e-01,-1.455626e+01,-9.100505e-01
1.400531e-01,-1.460877e+01,-9.100510e-01
1.446507e-01,-1.466320e+01,-9.100515e-01
1.493993e-01,-1.471962e+01,-9.100521e-01
1.543038e-01,-1.477810e+01,-9.100527e-01
1.593694e-01,-1.483874e+01,-9.100533e-01
1.646012e-01,-1.490160e+01,-9.100540e-01
1.700047e-01,-1.496680e+01,-9.100546e-01
1.755856e-01,-1.503441e+01,-9.100553e-01
1.813498e-01,-1.510454e+01,-9.100561e-01
1.873032e-01,-1.517730e+01,-9.100568e-01
1.934520e-01,-1.525278e+01,-9.100576e-01
1.998026e-01,-1.533111e+01,-9.100584e-01
2.063618e-01,-1.541240e+01,-9.100593e-01
2.131362e-01,-1.549678e+01,-9.100602e-01
2.201331e-01,-1.558437e+01,-9.100612e-01
2.273597e-01,-1.567532e+01,-9.100621e-01
2.348235e-01,-1.576976e+01,-9.100632e-01
2.425323e-01,-1.586785e+01,-9.100642e-01
2.504942e-01,-1.596974e+01,-9.100654e-01
2.587174e-01,-1.607560e+01,-9.100665e-01
2.672106e-01,-1.618561e+01,-9.100678e-01
2.759826e-01,-1.629993e+01,-9.100691e-01
2.850426e-01,-1.641878e+01,-9.100704e-01
2.944000e-01,-1.654233e+01,-9.100718e-01
3.040646e-01,-1.667082e+01,-9.100733e-01
3.140465e-01,-1.680445e+01,-9.100749e-01
3.243561e-01,-1.694345e+01,-9.100765e-01
3.350041e-01,-1.708809e+01,-9.100782e-01
3.460016e-01,-1.723860e+01,-9.100800e-01
3.573602e-01,-1.739527e+01,-9.100819e-01
3.690917e-01,-1.755837e+01,-9.100839e-01
3.812083e-01,-1.772820e+01,-9.100859e-01
3.937226e-01,-1.790509e+01,-9.100881e-01
4.066478e-01,-1.808935e+01,-9.100904e-01
4.199973e-01,-1.828134e+01,-9.100928e-01
4.337850e-01,-1.848143e+01,-9.100954e-01
4.480254e-01,-1.869000e+01,-9.100981e-01
4.627332e-01,-1.890746e+01,-9.101009e-01
4.779239e-01,-1.913423e+01,-9.101039e-01
4.936132e-01,-1.937077e+01,-9.101070e-01
5.098176e-01,-1.961755e+01,-9.101103e-01
5.265540e-01,-1.987507e+01,-9.101138e-01
5.438397e-01,-2.014386e+01,-9.101175e-01
5.616930e-01,-2.042447e+01,-9.101214e-01
5.801323e-01,-2.071749e+01,-9.101255e-01
5.991770e-01,-2.102353e+01,-9.101299e-01
6.188468e-01,-2.134323e+01,-9.101345e-01
6.391624e-01,-2.167730e+01,-9.101394e-01
6.601449e-01,-2.202643e+01,-9.101445e-01
6.818162e-01,-2.239140e+01,-9.101500e-01
7.041990e-01,-2.277300e+01,-9.101558e-01
7.273165e-01,-2.317206e+01,-9.101620e-01
7.511929e-01,-2.358949e+01,-9.101685e-01
7.758532e-01,-2.402620e+01,-9.101754e-01
8.013230e-01,-2.448319e+01,-9.101828e-01
8.276289e-01,-2.496148e+01,-9.101906e-01
8.547985e-01,-2.546217e+01,-9.101989e-01
8.828599e-01,-2.598641e+01,-9.102078e-01
9.118425e-01,-2.653540e+01,-9.102172e-01
