Om,n,beta,H0,log_posterior
0.31378472537290714,0.18318833184619887,0.7849384749953232,68.91612278661849,-15.088886412576441
0.2971784097219652,0.22583585417319607,0.7795230352080736,69.0475602408677,-14.865073457925947
0.28560063902416194,0.24150975938342695,0.5530810821239154,68.49378994709366,-15.424449291289658
0.30109772369746995,0.051240850609616945,0.9456742874959433,70.94417935715063,-17.497595149274787
0.2951753764450683,0.39568677071427183,0.9231369448456861,66.90936935761405,-18.638830968430234
0.300998336458695,0.2356785440670382,0.23970969877066256,67.4979249050683,-14.809413292984384
0.31748897946953825,0.012402954397864652,0.8483361995773516,70.02075042604994,-17.150970542492647
0.30853475257081475,0.5327644897182126,0.7546323494725125,65.67396445398343,-17.68344842226925
0.2925520202943095,0.19026864741241123,0.40145721322529915,68.76941487196967,-14.557036452343782
0.2967422105416329,0.11051866985949467,0.34363187079142565,69.41051248317926,-14.81947151032318
0.27088434276845796,0.35037971245118354,0.16345442530770843,66.37303072939343,-16.29776946830719
0.2809628927504936,0.30869742457161414,0.5267181243964303,67.67623202985283,-16.757618594721905
0.27555441589933843,0.07767145670616213,0.26231113482382007,70.10365188120754,-15.83555029248539
0.29003965346800137,0.30906971376878445,0.2636577133677301,67.22021968870185,-15.359765021414981
0.2741643905442889,0.3945510555799842,0.7370717642667346,67.63228375340448,-15.789258355045941
0.28405402131491453,0.0023170676144113056,0.9848937527550978,72.26724813660319,-21.904246449999818
0.29322304324553145,0.06526143499467169,0.011537788149567685,68.87539845636861,-16.06480196165191
0.3079662597738381,0.3019759372452011,0.639919333865619,67.79620591255664,-14.918861992798652
0.30240688587644704,0.2290211541058137,0.760623958962026,68.87823002408022,-14.875612900814373
0.2759217608546041,0.22731417594010872,0.0390505981476553,66.87315061335653,-15.484462079036186
0.27723429716851994,0.2648320472138932,0.5292322520638283,68.53207926035543,-15.525685483393188
0.30537305334828924,0.30624722414365946,0.6113557915486063,68.12186815481269,-16.69933017960946
0.3049445428501029,0.20761993810600185,0.4810947932297294,68.53530902263161,-14.79243907398956
0.3069537330534204,0.2954397353447552,0.7351862124885615,67.97921088553973,-14.73267129282359
0.3187063321162131,0.21903343354049798,0.9073215858257245,68.45811401120758,-15.293558936453326
0.3142216014990244,0.22910603971900384,0.7619744496836938,68.16424383476476,-15.486652305476403
0.2747664949575852,0.328869793521772,0.775995924876192,69.10185318223535,-19.048920140690736
0.28936521101068097,0.19556816738560184,0.9813336987097844,69.81517498610499,-15.678398725367188
0.2804400696819084,0.340169241029638,0.7788733187177821,67.58996674557912,-19.35768176050185
0.2920925898347808,0.18707988473900272,0.31325148545106046,68.17754925896178,-15.622751942661253
0.299941099916621,0.0574900845283928,0.31987082407943734,69.60475657572421,-14.893490075904438
0.27802156537485273,0.30233900740217595,0.28624181937601384,67.44652578297614,-15.158934732377743
0.2845776841368637,0.3483451903261324,0.36050851360801467,66.8128501244919,-16.15718459359763
0.30556789231069326,0.10027542474333546,0.4815428397214934,69.41231175478976,-14.951104924194153
0.27455881647059865,0.23098982970434892,0.05263098893803536,67.2314035587657,-14.905916878677994
0.28190097949291654,0.12527384734978597,0.020022595713048014,68.17781894274944,-14.232854919265522
0.28338662547326066,0.06204865344262393,0.08036635031836681,69.71229091134627,-16.216423613877783
0.25645280038480633,0.5013538768529482,0.9617914573775157,67.56343371101357,-17.759082083283644
