Omega_m0,H0,n_dvch,chi2,chain
0.3461199572495056,70.64948987523468,0.08887012958868527,64.95817738777336,0
0.3461199572495056,70.64948987523468,0.08887012958868527,64.95817738777336,0
0.3514928373443619,69.73581988251507,0.0829046889787849,63.4956434191367,0
0.3514928373443619,69.73581988251507,0.0829046889787849,63.4956434191367,0
0.3514928373443619,69.73581988251507,0.0829046889787849,63.4956434191367,0
0.321389630230344,69.09698482109424,0.06432402697085492,64.29208817850817,0
0.3191159516669045,69.29747615474064,0.06818309413765498,64.77344449095106,0
0.3191159516669045,69.29747615474064,0.06818309413765498,64.77344449095106,0
0.3328687856662746,69.87951508504639,0.07628291756693129,62.86250343713834,0
0.3328687856662746,69.87951508504639,0.07628291756693129,62.86250343713834,0
0.32887404425572975,70.14159424898803,0.06719304350946055,67.594672307714,0
0.3519262924463827,69.44815284117213,0.08221752009501579,63.51399147914134,0
0.3519262924463827,69.44815284117213,0.08221752009501579,63.51399147914134,0
0.35161944061977424,69.00107225930147,0.07667092645777095,65.0707457169564,0
0.35161944061977424,69.00107225930147,0.07667092645777095,65.0707457169564,0
0.35161944061977424,69.00107225930147,0.07667092645777095,65.0707457169564,0
0.3579327083592488,69.59018933725504,0.07802006113213586,67.28996814505476,0
0.3495696344078367,69.51768151171919,0.08866462972398614,61.77468812003161,0
0.3495696344078367,69.51768151171919,0.08866462972398614,61.77468812003161,0
0.3495696344078367,69.51768151171919,0.08866462972398614,61.77468812003161,0
0.3279148284550628,68.5386477257325,0.06857892254162652,64.20839407225232,0
0.3430513696193293,69.4232236077378,0.07226301189970703,63.36320154508759,0
0.3496644235204214,70.25021165363086,0.08778854049754849,63.46431823425489,0
0.3496644235204214,70.25021165363086,0.08778854049754849,63.46431823425489,0
0.3496644235204214,70.25021165363086,0.08778854049754849,63.46431823425489,0
0.353292570355331,70.14993807604058,0.08957149187273583,63.54203072912917,0
0.36319280837239964,69.99215687487238,0.10396720475684096,63.81467229234562,0
0.36319280837239964,69.99215687487238,0.10396720475684096,63.81467229234562,0
0.3764359069554833,70.49151501910339,0.10561377000788855,71.59655963998915,0
0.3764359069554833,70.49151501910339,0.10561377000788855,71.59655963998915,0
0.3764359069554833,70.49151501910339,0.10561377000788855,71.59655963998915,0
0.3764359069554833,70.49151501910339,0.10561377000788855,71.59655963998915,0
0.3764359069554833,70.49151501910339,0.10561377000788855,71.59655963998915,0
0.3600625627454576,71.93118791755514,0.11762063806414111,71.0536908162375,0
0.3600625627454576,71.93118791755514,0.11762063806414111,71.0536908162375,0
0.34050662510628743,70.96402581955657,0.09133614922311874,66.35626278945925,0
0.3360279044803765,70.98564269042913,0.1065237983642206,64.21808444484645,0
0.3360279044803765,70.98564269042913,0.1065237983642206,64.21808444484645,0
0.36232229203721933,72.03102762071488,0.14634923181343623,67.27060696712482,0
0.3340848114824075,71.46599883520952,0.1135014700121815,68.09310798417734,0
0.36375999587590147,71.3479738010519,0.13104869798033508,64.14829603076274,0
0.34384853720091385,70.40692122451728,0.12007739069140617,61.927662543552344,0
0.34384853720091385,70.40692122451728,0.12007739069140617,61.927662543552344,0
0.34384853720091385,70.40692122451728,0.12007739069140617,61.927662543552344,0
0.3307368266119971,69.71094559136627,0.07825905829462713,62.080566080037826,0
0.32729229917981695,69.69145127069287,0.07846863665998037,62.56216133358723,0
0.32729229917981695,69.69145127069287,0.07846863665998037,62.56216133358723,0
0.3307809522003428,69.6075398589899,0.08340365917836884,61.504876343251794,0
0.3307809522003428,69.6075398589899,0.08340365917836884,61.504876343251794,0
0.3307809522003428,69.6075398589899,0.08340365917836884,61.504876343251794,0
0.3307809522003428,69.6075398589899,0.08340365917836884,61.504876343251794,0
0.3307809522003428,69.6075398589899,0.08340365917836884,61.504876343251794,0
0.3307809522003428,69.6075398589899,0.08340365917836884,61.504876343251794,0
