parameter,median,q16,q84
Om,0.29560587189896353,0.27672076174036514,0.31329596848410457
n,0.21509759528386624,0.09046766821985253,0.3579249571323235
beta,0.4953058252126928,0.15546180508894078,0.8396291342750001
H0,68.35668970000988,67.20312106530243,69.4496963076344
