n,beta,viable,reason,z_t,Qtilde_max,Qtilde_min,E2_min
0.05,1e-06,True,viable,0.7720972649267667,-0.03133948659897299,-0.34703731178988806,0.9999999999999999
0.05,2.053525026457146e-06,True,viable,0.7720956205144762,-0.03133928841754725,-0.3465961138754776,0.9999999999999999
0.05,4.216965034285822e-06,True,viable,0.7720922437097515,-0.03133888144833891,-0.34569041398364214,0.9999999999999999
0.05,8.659643233600654e-06,True,viable,0.7720853095131103,-0.0313380457324054,-0.34383184754275803,0.9999999999999999
0.05,1.778279410038923e-05,True,viable,0.772071070626114,-0.031336329592101725,-0.3400207561224922,0.9999999999999999
0.05,3.651741272548377e-05,True,viable,0.7720418334953959,-0.03133280555321022,-0.3322178073842475,0.9999999999999999
0.05,7.498942093324559e-05,True,viable,0.7719818060222747,-0.03132556926510857,-0.31629166844226686,0.9999999999999999
0.05,0.0001539926526059492,True,viable,0.7718585874836127,-0.031310711111794565,-0.2839932808573644,0.9999999999999999
0.05,0.00031622776601683794,True,viable,0.7716057630911298,-0.03128020688035585,-0.21940525040243952,0.9999999999999999
0.05,0.0006493816315762113,True,viable,0.7710874567299444,-0.031217596689306654,-0.1487614976226738,0.9999999999999999
0.05,0.001333521432163324,False,Q_positive,,,,
0.05,0.0027384196342643613,False,Q_positive,,,,
0.05,0.005623413251903491,False,Q_positive,,,,
0.05,0.011547819846894581,False,Q_positive,,,,
0.05,0.023713737056616554,False,Q_positive,,,,
0.05,0.04869675251658631,False,Q_positive,,,,
0.05,0.1,False,Q_positive,,,,
0.07666666666666667,1e-06,True,viable,0.8335959605975158,-0.04551794832274179,-0.5888152653114884,0.9999999999999999
0.07666666666666667,2.053525026457146e-06,True,viable,0.833594034998455,-0.04551776060026933,-0.5883493064232757,0.9999999999999999
0.07666666666666667,4.216965034285822e-06,True,viable,0.8335900807786022,-0.04551737510871421,-0.5873927483729149,0.9999999999999999
0.07666666666666667,8.659643233600654e-06,True,viable,0.8335819608832408,-0.045516583497387776,-0.585429697645728,0.9999999999999999
0.07666666666666667,1.778279410038923e-05,True,viable,0.8335652872931285,-0.04551495792576983,-0.581403852850712,0.9999999999999999
0.07666666666666667,3.651741272548377e-05,True,viable,0.8335310511085072,-0.04551161986676016,-0.5731590987082179,0.9999999999999999
0.07666666666666667,7.498942093324559e-05,True,viable,0.8334607607480505,-0.04550476547115389,-0.5563223698778608,0.9999999999999999
0.07666666666666667,0.0001539926526059492,True,viable,0.8333164789781065,-0.045490691451523624,-0.5221405161176186,0.9999999999999999
0.07666666666666667,0.00031622776601683794,True,viable,0.8330204506042003,-0.045461797069900174,-0.45357011790248764,0.9999999999999999
0.07666666666666667,0.0006493816315762113,True,viable,0.8324136334606205,-0.045402491109108226,-0.3265078602548685,0.9999999999999999
0.07666666666666667,0.001333521432163324,True,viable,0.8311720684379863,-0.04528082856181661,-0.2176555844619073,0.9999999999999999
0.07666666666666667,0.0027384196342643613,False,Q_positive,,,,
0.07666666666666667,0.005623413251903491,False,Q_positive,,,,
0.07666666666666667,0.011547819846894581,False,Q_positive,,,,
0.07666666666666667,0.023713737056616554,False,Q_positive,,,,
0.07666666666666667,0.04869675251658631,False,Q_positive,,,,
0.07666666666666667,0.1,False,Q_positive,,,,
0.10333333333333333,1e-06,True,viable,0.9010803757689602,-0.05827490315013128,-0.8727593472698418,0.9999999999999999
0.10333333333333333,2.053525026457146e-06,True,viable,0.9010781781790153,-0.05827472483801639,-0.872272514547436,0.9999999999999999
0.10333333333333333,4.216965034285822e-06,True,viable,0.9010736654290291,-0.05827435867080389,-0.8712730764982003,0.9999999999999999
0.10333333333333333,8.659643233600654e-06,True,viable,0.9010643986199708,-0.05827360674223647,-0.8692219072166246,0.9999999999999999
0.10333333333333333,1.778279410038923e-05,True,viable,0.9010453699907061,-0.05827206265905185,-0.8650148422196674,0.9999999999999999
0.10333333333333333,3.651741272548377e-05,True,viable,0.9010062983972915,-0.058268891933917856,-0.8563968309537081,0.9999999999999999
0.10333333333333333,7.498942093324559e-05,True,viable,0.9009260815628066,-0.05826238114295695,-0.8387889604814821,0.9999999999999999
0.10333333333333333,0.0001539926526059492,True,viable,0.9007614286647563,-0.05824901264118729,-0.8030044659035581,0.9999999999999999
0.10333333333333333,0.00031622776601683794,True,viable,0.9004236230552067,-0.05822156670875193,-0.7310669176625497,0.9999999999999999
0.10333333333333333,0.0006493816315762113,True,viable,0.8997312480950612,-0.05816523370207534,-0.5896209910792725,0.9999999999999999
0.10333333333333333,0.001333521432163324,True,viable,0.8983149629305758,-0.058049669988118946,-0.3903823561843936,0.9999999999999999
0.10333333333333333,0.0027384196342643613,False,Q_positive,,,,
0.10333333333333333,0.005623413251903491,False,Q_positive,,,,
0.10333333333333333,0.011547819846894581,False,Q_positive,,,,
0.10333333333333333,0.023713737056616554,False,Q_positive,,,,
0.10333333333333333,0.04869675251658631,False,Q_positive,,,,
0.10333333333333333,0.1,False,Q_positive,,,,
0.13,1e-06,True,viable,0.9754182420849427,-0.06981392277714257,-1.1996410080103121,0.9999999999999999
0.13,2.053525026457146e-06,True,viable,0.9754156768668366,-0.06981375297695722,-1.199138229277421,0.9999999999999999
0.13,4.216965034285822e-06,True,viable,0.9754104091971149,-0.06981340428914884,-1.1981060267327035,0.9999999999999999
0.13,8.659643233600654e-06,True,viable,0.9753995922000133,-0.06981268825473808,-1.1959874948652935,0.9999999999999999
0.13,1.778279410038923e-05,True,viable,0.9753773804677152,-0.06981121788010257,-1.191641763114605,0.9999999999999999
0.13,3.651741272548377e-05,True,viable,0.9753317733122226,-0.06980819851310237,-1.1827375864371914,0.9999999999999999
0.13,7.498942093324559e-05,True,viable,0.9752381399002954,-0.06980199852207769,-1.1645361846325268,0.9999999999999999
0.13,0.0001539926526059492,True,viable,0.9750459540626812,-0.06978926818079,-1.1275085729943384,0.9999999999999999
0.13,0.00031622776601683794,True,viable,0.9746516860625742,-0.06976313241083747,-1.0529202659306032,0.9999999999999999
0.13,0.0006493816315762113,True,viable,0.9738436884612902,-0.06970948852365307,-0.9056539997869009,0.9999999999999999
0.13,0.001333521432163324,True,viable,0.9721913264382251,-0.0695994413736815,-0.6376105775735479,0.9999999999999999
0.13,0.0027384196342643613,True,viable,0.968826823731875,-0.06937392759824206,-0.40965802747355673,0.9999999999999999
0.13,0.005623413251903491,False,Q_positive,,,,
0.13,0.011547819846894581,False,Q_positive,,,,
0.13,0.023713737056616554,False,Q_positive,,,,
0.13,0.04869675251658631,False,Q_positive,,,,
0.13,0.1,False,Q_positive,,,,
0.15666666666666668,1e-06,True,viable,1.0575973405736059,-0.08030147900851164,-1.5685880647765944,0.9999999999999999
0.15666666666666668,2.053525026457146e-06,True,viable,1.0575942894580563,-0.08030131694462822,-1.5680752600925107,0.9999999999999999
0.15666666666666668,4.216965034285822e-06,True,viable,1.0575880240052324,-0.08030098414345835,-1.5670224466140121,0.9999999999999999
0.15666666666666668,8.659643233600654e-06,True,viable,1.0575751581177153,-0.08030030073244182,-1.564861495346934,0.9999999999999999
0.15666666666666668,1.778279410038923e-05,True,viable,1.057548739283973,-0.08029889734985404,-1.560428257295825,0.9999999999999999
0.15666666666666668,3.651741272548377e-05,True,viable,1.0574944941647975,-0.08029601554886817,-1.5513427170499199,0.9999999999999999
0.15666666666666668,7.498942093324559e-05,True,viable,1.0573831285907178,-0.08029009803693732,-1.5327619098145602,0.9999999999999999
