z,E,H,Omega_m,Omega_Lambda,Omega_r
1.096681e+01,2.274327e+01,1.569968e+03,9.939168e-01,2.514961e-03,3.568203e-03
1.132683e+01,2.377612e+01,1.641266e+03,9.940149e-01,2.309146e-03,3.675915e-03
1.169866e+01,2.485902e+01,1.716018e+03,9.940941e-01,2.118805e-03,3.787100e-03
1.208271e+01,2.599442e+01,1.794394e+03,9.941553e-01,1.942840e-03,3.901873e-03
1.247936e+01,2.718491e+01,1.876574e+03,9.941994e-01,1.780229e-03,4.020352e-03
1.288904e+01,2.843321e+01,1.962745e+03,9.942273e-01,1.630016e-03,4.142658e-03
1.331216e+01,2.974218e+01,2.053103e+03,9.942398e-01,1.491310e-03,4.268915e-03
1.374917e+01,3.111480e+01,2.147855e+03,9.942375e-01,1.363284e-03,4.399254e-03
1.420053e+01,3.255422e+01,2.247218e+03,9.942210e-01,1.245164e-03,4.533807e-03
1.466671e+01,3.406374e+01,2.351420e+03,9.941911e-01,1.136233e-03,4.672710e-03
1.514819e+01,3.564682e+01,2.460700e+03,9.941481e-01,1.035826e-03,4.816107e-03
1.564548e+01,3.730710e+01,2.575309e+03,9.940925e-01,9.433208e-04,4.964143e-03
1.615909e+01,3.904840e+01,2.695511e+03,9.940249e-01,8.581435e-04,5.116968e-03
1.668956e+01,4.087473e+01,2.821583e+03,9.939455e-01,7.797599e-04,5.274738e-03
1.723745e+01,4.279029e+01,2.953814e+03,9.938547e-01,7.076747e-04,5.437612e-03
1.780332e+01,4.479951e+01,3.092510e+03,9.937528e-01,6.414282e-04,5.605756e-03
1.838777e+01,4.690702e+01,3.237992e+03,9.936401e-01,5.805946e-04,5.779339e-03
1.899141e+01,4.911770e+01,3.390595e+03,9.935167e-01,5.247788e-04,5.958539e-03
1.961486e+01,5.143667e+01,3.550673e+03,9.933829e-01,4.736142e-04,6.143534e-03
2.025878e+01,5.386929e+01,3.718597e+03,9.932387e-01,4.267611e-04,6.334512e-03
2.092383e+01,5.642120e+01,3.894755e+03,9.930844e-01,3.839040e-04,6.531666e-03
2.161073e+01,5.909833e+01,4.079558e+03,9.929201e-01,3.447498e-04,6.735193e-03
2.232016e+01,6.190690e+01,4.273433e+03,9.927457e-01,3.090264e-04,6.945298e-03
2.305289e+01,6.485343e+01,4.476832e+03,9.925613e-01,2.764802e-04,7.162192e-03
2.380968e+01,6.794479e+01,4.690229e+03,9.923670e-01,2.468754e-04,7.386092e-03
2.459130e+01,7.118816e+01,4.914119e+03,9.921628e-01,2.199918e-04,7.617222e-03
2.539859e+01,7.459113e+01,5.149025e+03,9.919486e-01,1.956237e-04,7.855813e-03
2.623238e+01,7.816161e+01,5.395496e+03,9.917243e-01,1.735788e-04,8.102104e-03
2.709354e+01,8.190796e+01,5.654107e+03,9.914900e-01,1.536770e-04,8.356339e-03
2.798297e+01,8.583893e+01,5.925462e+03,9.912455e-01,1.357493e-04,8.618771e-03
2.890160e+01,8.996372e+01,6.210196e+03,9.909907e-01,1.196372e-04,8.889661e-03
2.985038e+01,9.429199e+01,6.508976e+03,9.907255e-01,1.051918e-04,9.169278e-03
3.083031e+01,9.883387e+01,6.822502e+03,9.904498e-01,9.227317e-05,9.457899e-03
3.184242e+01,1.036000e+02,7.151509e+03,9.901634e-01,8.074991e-05,9.755808e-03
3.288774e+01,1.086016e+02,7.496771e+03,9.898662e-01,7.049872e-05,1.006330e-02
3.396739e+01,1.138505e+02,7.859097e+03,9.895579e-01,6.140402e-05,1.038068e-02
3.508247e+01,1.193588e+02,8.239340e+03,9.892384e-01,5.335767e-05,1.070825e-02
3.623416e+01,1.251397e+02,8.638396e+03,9.889074e-01,4.625872e-05,1.104634e-02
3.742366e+01,1.312068e+02,9.057203e+03,9.885647e-01,4.001318e-05,1.139528e-02
3.865221e+01,1.375742e+02,9.496750e+03,9.882101e-01,3.453386e-05,1.175541e-02
3.992109e+01,1.442572e+02,9.958073e+03,9.878432e-01,2.974013e-05,1.212709e-02
4.123163e+01,1.512714e+02,1.044226e+04,9.874638e-01,2.555775e-05,1.251066e-02
4.258518e+01,1.586334e+02,1.095046e+04,9.870716e-01,2.191860e-05,1.290651e-02
4.398317e+01,1.663607e+02,1.148388e+04,9.866662e-01,1.876051e-05,1.331501e-02
4.542706e+01,1.744715e+02,1.204377e+04,9.862474e-01,1.602694e-05,1.373657e-02
4.691835e+01,1.829851e+02,1.263146e+04,9.858147e-01,1.366674e-05,1.417158e-02
4.845859e+01,1.919217e+02,1.324835e+04,9.853679e-01,1.163382e-05,1.462047e-02
5.004939e+01,2.013024e+02,1.389591e+04,9.849065e-01,9.886871e-06,1.508366e-02
5.169242e+01,2.111497e+02,1.457566e+04,9.844300e-01,8.388996e-06,1.556160e-02
5.338938e+01,2.214868e+02,1.528924e+04,9.839382e-01,7.107411e-06,1.605474e-02
5.514206e+01,2.323386e+02,1.603833e+04,9.834304e-01,6.013101e-06,1.656354e-02
5.695227e+01,2.437307e+02,1.682473e+04,9.829064e-01,5.080492e-06,1.708850e-02
5.882190e+01,2.556904e+02,1.765031e+04,9.823656e-01,4.287133e-06,1.763009e-02
6.075292e+01,2.682463e+02,1.851704e+04,9.818075e-01,3.613390e-06,1.818884e-02
6.274732e+01,2.814283e+02,1.942699e+04,9.812317e-01,3.042151e-06,1.876527e-02
6.480720e+01,2.952681e+02,2.038235e+04,9.806375e-01,2.558557e-06,1.935990e-02
6.693470e+01,3.097987e+02,2.138541e+04,9.800245e-01,2.149744e-06,1.997330e-02
6.913204e+01,3.250551e+02,2.243855e+04,9.793922e-01,1.804608e-06,2.060603e-02
7.140151e+01,3.410739e+02,2.354433e+04,9.787398e-01,1.513594e-06,2.125867e-02
7.374549e+01,3.578935e+02,2.470539e+04,9.780669e-01,1.268501e-06,2.193183e-02
7.616642e+01,3.755545e+02,2.592453e+04,9.773728e-01,1.062307e-06,2.262611e-02
7.866682e+01,3.940994e+02,2.720468e+04,9.766570e-01,8.890135e-07,2.334215e-02
8.124930e+01,4.135730e+02,2.854894e+04,9.759187e-01,7.435090e-07,2.408059e-02
8.391656e+01,4.340222e+02,2.996055e+04,9.751573e-01,6.214444e-07,2.484210e-02
8.667139e+01,4.554965e+02,3.144292e+04,9.743721e-01,5.191272e-07,2.562737e-02
8.951665e+01,4.780479e+02,3.299965e+04,9.735625e-01,4.334279e-07,2.643708e-02
9.245531e+01,5.017310e+02,3.463449e+04,9.727277e-01,3.616984e-07,2.727197e-02
9.549045e+01,5.266034e+02,3.635144e+04,9.718669e-01,3.017008e-07,2.813276e-02
9.862522e+01,5.527255e+02,3.815464e+04,9.709795e-01,2.515471e-07,2.902021e-02
1.018629e+02,5.801609e+02,4.004850e+04,9.700647e-01,2.096461e-07,2.993510e-02
1.052069e+02,6.089763e+02,4.203763e+04,9.691216e-01,1.746585e-07,3.087821e-02
1.086606e+02,6.392422e+02,4.412689e+04,9.681495e-01,1.454580e-07,3.185036e-02
1.122277e+02,6.710324e+02,4.632137e+04,9.671475e-01,1.210987e-07,3.285238e-02
1.159120e+02,7.044249e+02,4.862645e+04,9.661148e-01,1.007868e-07,3.388511e-02
1.197171e+02,7.395014e+02,5.104778e+04,9.650505e-01,8.385664e-08,3.494944e-02
1.236472e+02,7.763480e+02,5.359130e+04,9.639537e-01,6.975054e-08,3.604625e-02
1.277063e+02,8.150554e+02,5.626328e+04,9.628235e-01,5.800164e-08,3.717644e-02
1.318987e+02,8.557189e+02,5.907028e+04,9.616590e-01,4.821930e-08,3.834097e-02
1.362287e+02,8.984388e+02,6.201923e+04,9.604592e-01,4.007694e-08,3.954076e-02
1.407008e+02,9.433205e+02,6.511742e+04,9.592232e-01,3.330165e-08,4.077681e-02
1.453198e+02,9.904753e+02,6.837251e+04,9.579499e-01,2.766548e-08,4.205010e-02
1.500903e+02,1.040020e+03,7.179259e+04,9.566383e-01,2.297819e-08,4.336164e-02
1.550175e+02,1.092078e+03,7.538613e+04,9.552875e-01,1.908103e-08,4.471247e-02
1.601064e+02,1.146778e+03,7.916210e+04,9.538963e-01,1.584158e-08,4.610365e-02
1.653624e+02,1.204257e+03,8.312989e+04,9.524637e-01,1.314949e-08,4.753626e-02
1.707910e+02,1.264659e+03,8.729942e+04,9.509886e-01,1.091276e-08,4.901138e-02
1.763977e+02,1.328135e+03,9.168114e+04,9.494699e-01,9.054782e-09,5.053014e-02
1.821885e+02,1.394843e+03,9.628602e+04,9.479063e-01,7.511735e-09,5.209367e-02
1.881694e+02,1.464952e+03,1.011256e+05,9.462969e-01,6.230499e-09,5.370313e-02
1.943467e+02,1.538638e+03,1.062122e+05,9.446403e-01,5.166860e-09,5.535971e-02
2.007267e+02,1.616087e+03,1.115585e+05,9.429354e-01,4.284033e-09,5.706458e-02
2.073162e+02,1.697496e+03,1.171781e+05,9.411810e-01,3.551417e-09,5.881898e-02
2.141220e+02,1.783069e+03,1.230853e+05,9.393759e-01,2.943566e-09,6.062413e-02
2.211512e+02,1.873026e+03,1.292950e+05,9.375187e-01,2.439324e-09,6.248128e-02
2.284112e+02,1.967594e+03,1.358230e+05,9.356083e-01,2.021105e-09,6.439171e-02
2.359095e+02,2.067016e+03,1.426861e+05,9.336433e-01,1.674295e-09,6.635670e-02
2.436540e+02,2.171547e+03,1.499019e+05,9.316225e-01,1.386750e-09,6.837755e-02
2.516527e+02,2.281453e+03,1.574887e+05,9.295444e-01,1.148385e-09,7.045557e-02
2.599140e+02,2.397018e+03,1.654661e+05,9.274079e-01,9.508227e-10,7.259211e-02
2.684465e+02,2.518540e+03,1.738548e+05,9.252115e-01,7.871065e-10,7.478850e-02
2.772591e+02,2.646334e+03,1.826764e+05,9.229539e-01,6.514615e-10,7.704609e-02
2.863610e+02,2.780730e+03,1.919538e+05,9.206337e-01,5.390939e-10,7.936626e-02
2.957617e+02,2.922079e+03,2.017111e+05,9.182496e-01,4.460254e-10,8.175039e-02
3.054710e+02,3.070749e+03,2.119738e+05,9.158002e-01,3.689549e-10,8.419985e-02
3.154990e+02,3.227128e+03,2.227687e+05,9.132840e-01,3.051437e-10,8.671604e-02
3.258562e+02,3.391628e+03,2.341241e+05,9.106996e-01,2.523200e-10,8.930036e-02
3.365535e+02,3.564681e+03,2.460699e+05,9.080458e-01,2.085998e-10,9.195421e-02
3.476019e+02,3.746744e+03,2.586377e+05,9.053210e-01,1.724207e-10,9.467899e-02
3.590130e+02,3.938298e+03,2.718607e+05,9.025239e-01,1.424876e-10,9.747611e-02
3.707988e+02,4.139854e+03,2.857741e+05,8.996530e-01,1.177268e-10,1.003470e-01
3.829714e+02,4.351947e+03,3.004149e+05,8.967070e-01,9.724841e-11,1.032930e-01
3.955436e+02,4.575146e+03,3.158223e+05,8.936845e-01,8.031504e-11,1.063155e-01
4.085286e+02,4.810049e+03,3.320377e+05,8.905841e-01,6.631576e-11,1.094159e-01
4.219398e+02,5.057288e+03,3.491046e+05,8.874044e-01,5.474448e-11,1.125956e-01
4.357913e+02,5.317532e+03,3.670692e+05,8.841441e-01,4.518203e-11,1.158559e-01
4.500975e+02,5.591485e+03,3.859802e+05,8.808018e-01,3.728130e-11,1.191982e-01
4.648734e+02,5.879895e+03,4.058891e+05,8.773761e-01,3.075489e-11,1.226239e-01
4.801343e+02,6.183547e+03,4.268503e+05,8.738659e-01,2.536490e-11,1.261341e-01
4.958962e+02,6.503276e+03,4.489211e+05,8.702699e-01,2.091443e-11,1.297301e-01
5.121755e+02,6.839960e+03,4.721624e+05,8.665867e-01,1.724052e-11,1.334133e-01
5.289893e+02,7.194530e+03,4.966384e+05,8.628152e-01,1.420837e-11,1.371848e-01
5.463550e+02,7.567968e+03,5.224169e+05,8.589541e-01,1.170645e-11,1.410459e-01
5.642908e+02,7.961316e+03,5.495697e+05,8.550025e-01,9.642531e-12,1.449975e-01
5.828155e+02,8.375672e+03,5.781727e+05,8.509591e-01,7.940346e-12,1.490409e-01
6.019482e+02,8.812200e+03,6.083061e+05,8.468229e-01,6.536842e-12,1.531771e-01
6.217090e+02,9.272129e+03,6.400551e+05,8.425929e-01,5.379901e-12,1.574071e-01
6.421186e+02,9.756762e+03,6.735093e+05,8.382682e-01,4.426452e-12,1.617318e-01
6.631981e+02,1.026748e+04,7.087638e+05,8.338479e-01,3.640912e-12,1.661521e-01
6.849697e+02,1.080573e+04,7.459194e+05,8.293312e-01,2.993883e-12,1.706688e-01
7.074559e+02,1.137306e+04,7.850824e+05,8.247172e-01,2.461088e-12,1.752828e-01
7.306804e+02,1.197111e+04,8.263657e+05,8.200054e-01,2.022481e-12,1.799946e-01
7.546673e+02,1.260160e+04,8.698886e+05,8.151951e-01,1.661516e-12,1.848049e-01
7.794416e+02,1.326637e+04,9.157775e+05,8.102858e-01,1.364534e-12,1.897142e-01
8.050292e+02,1.396735e+04,9.641664e+05,8.052770e-01,1.120267e-12,1.947230e-01
8.314568e+02,1.470661e+04,1.015197e+06,8.001683e-01,9.194185e-13,1.998317e-01
8.587519e+02,1.548631e+04,1.069020e+06,7.949596e-01,7.543221e-13,2.050404e-01
8.869432e+02,1.630876e+04,1.125794e+06,7.896506e-01,6.186566e-13,2.103494e-01
9.160598e+02,1.717641e+04,1.185687e+06,7.842412e-01,5.072114e-13,2.157588e-01
9.461324e+02,1.809184e+04,1.248880e+06,7.787315e-01,4.156924e-13,2.212685e-01
9.771921e+02,1.905781e+04,1.315561e+06,7.731216e-01,3.405621e-13,2.268784e-01
1.009272e+03,2.007722e+04,1.385930e+06,7.674117e-01,2.789066e-13,2.325883e-01
1.042404e+03,2.115316e+04,1.460203e+06,7.616023e-01,2.283269e-13,2.383977e-01
1.076624e+03,2.228890e+04,1.538603e+06,7.556938e-01,1.868479e-13,2.443062e-01
1.111968e+03,2.348792e+04,1.621371e+06,7.496868e-01,1.528445e-13,2.503132e-01
1.148472e+03,2.475389e+04,1.708761e+06,7.435821e-01,1.249796e-13,2.564179e-01
1.186174e+03,2.609073e+04,1.801043e+06,7.373804e-01,1.021535e-13,2.626196e-01
1.225114e+03,2.750258e+04,1.898503e+06,7.310828e-01,8.346216e-14,2.689172e-01
1.265332e+03,2.899383e+04,2.001444e+06,7.246904e-01,6.816255e-14,2.753096e-01
1.306870e+03,3.056916e+04,2.110189e+06,7.182045e-01,5.564412e-14,2.817955e-01
1.349772e+03,3.223353e+04,2.225080e+06,7.116264e-01,4.540538e-14,2.883736e-01
1.394083e+03,3.399219e+04,2.346481e+06,7.049577e-01,3.703459e-14,2.950423e-01
1.439848e+03,3.585072e+04,2.474776e+06,6.982000e-01,3.019377e-14,3.018000e-01
1.487115e+03,3.781508e+04,2.610375e+06,6.913551e-01,2.460563e-14,3.086449e-01
1.535935e+03,3.989154e+04,2.753713e+06,6.844250e-01,2.004272e-14,3.155750e-01
1.586357e+03,4.208681e+04,2.905252e+06,6.774118e-01,1.631854e-14,3.225882e-01
1.638434e+03,4.440799e+04,3.065483e+06,6.703176e-01,1.328026e-14,3.296824e-01
1.692220e+03,4.686263e+04,3.234927e+06,6.631449e-01,1.080264e-14,3.368551e-01
1.747773e+03,4.945876e+04,3.414138e+06,6.558961e-01,8.783125e-15,3.441039e-01
1.805149e+03,5.220490e+04,3.603704e+06,6.485738e-01,7.137769e-15,3.514262e-01
1.864409e+03,5.511012e+04,3.804251e+06,6.411808e-01,5.797862e-15,3.588192e-01
1.925614e+03,5.818404e+04,4.016444e+06,6.337200e-01,4.707209e-15,3.662800e-01
1.988828e+03,6.143690e+04,4.240989e+06,6.261943e-01,3.819859e-15,3.738057e-01
2.054117e+03,6.487960e+04,4.478639e+06,6.186070e-01,3.098260e-15,3.813930e-01
2.121550e+03,6.852369e+04,4.730190e+06,6.109612e-01,2.511732e-15,3.890388e-01
2.191197e+03,7.238149e+04,4.996494e+06,6.032604e-01,2.035224e-15,3.967396e-01
2.263130e+03,7.646607e+04,5.278453e+06,5.955079e-01,1.648288e-15,4.044921e-01
2.337424e+03,8.079136e+04,5.577028e+06,5.877073e-01,1.334242e-15,4.122927e-01
2.414157e+03,8.537216e+04,5.893240e+06,5.798624e-01,1.079482e-15,4.201376e-01
2.493409e+03,9.022420e+04,6.228176e+06,5.719768e-01,8.729196e-16,4.280232e-01
2.575263e+03,9.536424e+04,6.582993e+06,5.640543e-01,7.055216e-16,4.359457e-01
2.659804e+03,1.008101e+05,6.958921e+06,5.560989e-01,5.699313e-16,4.439011e-01
2.747121e+03,1.065807e+05,7.357268e+06,5.481145e-01,4.601613e-16,4.518855e-01
2.837304e+03,1.126963e+05,7.779427e+06,5.401052e-01,3.713405e-16,4.598948e-01
2.930447e+03,1.191783e+05,8.226879e+06,5.320751e-01,2.995081e-16,4.679249e-01
3.026648e+03,1.260496e+05,8.701203e+06,5.240282e-01,2.414450e-16,4.759718e-01
3.126007e+03,1.333344e+05,9.204075e+06,5.159687e-01,1.945365e-16,4.840313e-01
3.228628e+03,1.410587e+05,9.737284e+06,5.079008e-01,1.566595e-16,4.920992e-01
3.334618e+03,1.492501e+05,1.030273e+07,4.998287e-01,1.260913e-16,5.001713e-01
3.444087e+03,1.579377e+05,1.090244e+07,4.917566e-01,1.014346e-16,5.082434e-01
3.557150e+03,1.671529e+05,1.153857e+07,4.836888e-01,8.155675e-17,5.163112e-01
3.673925e+03,1.769290e+05,1.221341e+07,4.756294e-01,6.554003e-17,5.243706e-01
3.794533e+03,1.873012e+05,1.292940e+07,4.675825e-01,5.264131e-17,5.324175e-01
3.919100e+03,1.983074e+05,1.368916e+07,4.595525e-01,4.225912e-17,5.404475e-01
4.047757e+03,2.099875e+05,1.449544e+07,4.515433e-01,3.390693e-17,5.484567e-01
4.180637e+03,2.223845e+05,1.535120e+07,4.435591e-01,2.719139e-17,5.564409e-01
4.317880e+03,2.355437e+05,1.625958e+07,4.356038e-01,2.179465e-17,5.643962e-01
4.459628e+03,2.495137e+05,1.722393e+07,4.276816e-01,1.746004e-17,5.723184e-01
4.606029e+03,2.643460e+05,1.824781e+07,4.197961e-01,1.398035e-17,5.802039e-01
4.757236e+03,2.800958e+05,1.933501e+07,4.119514e-01,1.118844e-17,5.880486e-01
4.913407e+03,2.968216e+05,2.048959e+07,4.041511e-01,8.949544e-18,5.958489e-01
5.074705e+03,3.145857e+05,2.171585e+07,3.963989e-01,7.155064e-18,6.036011e-01
5.241298e+03,3.334548e+05,2.301838e+07,3.886983e-01,5.717535e-18,6.113017e-01
5.413360e+03,3.534995e+05,2.440207e+07,3.810528e-01,4.566550e-18,6.189472e-01
5.591071e+03,3.747953e+05,2.587212e+07,3.734658e-01,3.645469e-18,6.265342e-01
5.774615e+03,3.974228e+05,2.743409e+07,3.659405e-01,2.908748e-18,6.340595e-01
5.964185e+03,4.214674e+05,2.909390e+07,3.584801e-01,2.319787e-18,6.415199e-01
6.159978e+03,4.470205e+05,3.085783e+07,3.510874e-01,1.849188e-18,6.489126e-01
6.362198e+03,4.741794e+05,3.273260e+07,3.437655e-01,1.473355e-18,6.562345e-01
6.571058e+03,5.030476e+05,3.472538e+07,3.365171e-01,1.173353e-18,6.634829e-01
6.786773e+03,5.337357e+05,3.684377e+07,3.293448e-01,9.340005e-19,6.706552e-01
7.009570e+03,5.663612e+05,3.909591e+07,3.222510e-01,7.431305e-19,6.777490e-01
7.239681e+03,6.010496e+05,4.149046e+07,3.152382e-01,5.909962e-19,6.847618e-01
7.477346e+03,6.379347e+05,4.403663e+07,3.083086e-01,4.697949e-19,6.916914e-01
7.722814e+03,6.771587e+05,4.674427e+07,3.014641e-01,3.732831e-19,6.985359e-01
7.976339e+03,7.188736e+05,4.962385e+07,2.947069e-01,2.964675e-19,7.052931e-01
8.238187e+03,7.632412e+05,5.268654e+07,2.880387e-01,2.353570e-19,7.119613e-01
8.508632e+03,8.104339e+05,5.594425e+07,2.814610e-01,1.867631e-19,7.185390e-01
8.787954e+03,8.606356e+05,5.940968e+07,2.749756e-01,1.481397e-19,7.250244e-01
9.076446e+03,9.140423e+05,6.309634e+07,2.685837e-01,1.174548e-19,7.314163e-01
9.374409e+03,9.708628e+05,6.701866e+07,2.622866e-01,9.308754e-20,7.377134e-01
9.682153e+03,1.031320e+06,7.119200e+07,2.560855e-01,7.374572e-20,7.439145e-01
1.000000e+04,1.095651e+06,7.563276e+07,2.499813e-01,5.839950e-20,7.500187e-01
