z,E,H,Omega_m,Omega_Lambda,Omega_r
8.430468e-03,1.004611e+00,6.934826e+01,3.048342e-01,6.950736e-01,9.222123e-05
8.707225e-03,1.004763e+00,6.935876e+01,3.049930e-01,6.949147e-01,9.229458e-05
8.993067e-03,1.004920e+00,6.936960e+01,3.051569e-01,6.947507e-01,9.237036e-05
9.288292e-03,1.005082e+00,6.938079e+01,3.053263e-01,6.945813e-01,9.244867e-05
9.593209e-03,1.005249e+00,6.939236e+01,3.055012e-01,6.944063e-01,9.252957e-05
9.908137e-03,1.005423e+00,6.940432e+01,3.056818e-01,6.942256e-01,9.261317e-05
1.023340e-02,1.005601e+00,6.941667e+01,3.058684e-01,6.940389e-01,9.269955e-05
1.056935e-02,1.005786e+00,6.942943e+01,3.060611e-01,6.938461e-01,9.278880e-05
1.091632e-02,1.005977e+00,6.944261e+01,3.062602e-01,6.936469e-01,9.288103e-05
1.127468e-02,1.006175e+00,6.945623e+01,3.064658e-01,6.934412e-01,9.297633e-05
1.164481e-02,1.006378e+00,6.947030e+01,3.066781e-01,6.932288e-01,9.307480e-05
1.202708e-02,1.006589e+00,6.948484e+01,3.068974e-01,6.930094e-01,9.317656e-05
1.242191e-02,1.006807e+00,6.949986e+01,3.071240e-01,6.927828e-01,9.328171e-05
1.282970e-02,1.007032e+00,6.951538e+01,3.073579e-01,6.925487e-01,9.339037e-05
1.325087e-02,1.007264e+00,6.953142e+01,3.075996e-01,6.923069e-01,9.350266e-05
1.368587e-02,1.007504e+00,6.954799e+01,3.078492e-01,6.920572e-01,9.361870e-05
1.413516e-02,1.007752e+00,6.956512e+01,3.081070e-01,6.917993e-01,9.373863e-05
1.459919e-02,1.008008e+00,6.958281e+01,3.083732e-01,6.915329e-01,9.386256e-05
1.507845e-02,1.008273e+00,6.960109e+01,3.086482e-01,6.912578e-01,9.399064e-05
1.557345e-02,1.008547e+00,6.961998e+01,3.089322e-01,6.909736e-01,9.412301e-05
1.608469e-02,1.008829e+00,6.963950e+01,3.092256e-01,6.906801e-01,9.425982e-05
1.661273e-02,1.009122e+00,6.965967e+01,3.095286e-01,6.903770e-01,9.440122e-05
1.715809e-02,1.009424e+00,6.968051e+01,3.098416e-01,6.900639e-01,9.454735e-05
1.772136e-02,1.009736e+00,6.970205e+01,3.101648e-01,6.897405e-01,9.469840e-05
1.830312e-02,1.010058e+00,6.972431e+01,3.104986e-01,6.894065e-01,9.485452e-05
1.890397e-02,1.010391e+00,6.974732e+01,3.108435e-01,6.890615e-01,9.501589e-05
1.952456e-02,1.010736e+00,6.977109e+01,3.111996e-01,6.887052e-01,9.518269e-05
2.016551e-02,1.011092e+00,6.979566e+01,3.115675e-01,6.883372e-01,9.535511e-05
2.082751e-02,1.011459e+00,6.982105e+01,3.119474e-01,6.879571e-01,9.553334e-05
2.151123e-02,1.011840e+00,6.984729e+01,3.123398e-01,6.875645e-01,9.571758e-05
