metric,value
chi2_DVCH,39899.7788
chi2_LCDM,42302.7951
delta_chi2,-2403.0164
delta_AIC,-2401.0164
delta_BIC,-2398.2042
H0_DVCH,75.000
Om_DVCH,0.4000
n_DVCH,0.4000
H0_LCDM,75.000
Om_LCDM,0.4000
N_data,123
