z,delta,f,fsigma8
20.889049561363812,1.0,1.0,0.811
20.788161056688956,1.0,1.0,0.811
20.68773755577532,1.0,1.0,0.811
20.58777691538074,1.0,1.0,0.811
20.488277002141416,1.0,1.0,0.811
20.389235692526423,1.0,1.0,0.811
20.29065087279237,1.0,1.0,0.811
20.192520438938274,1.0,1.0,0.811
20.09484229666071,1.0,1.0,0.811
19.99761436130903,1.0,1.0,0.811
19.900834557840962,1.0,1.0,0.811
19.80450082077826,1.0,1.0,0.811
19.708611094162638,1.0,1.0,0.811
19.613163331511906,1.0,1.0,0.811
19.5181554957763,1.0,1.0,0.811
19.42358555929496,1.0,1.0,0.811
19.329451503752733,1.0,1.0,0.811
19.23575132013701,1.0,1.0,0.811
19.142483008694917,1.0,1.0,0.811
19.0496445788906,1.0,1.0,0.811
18.95723404936278,1.0,1.0,0.811
18.865249447882398,1.0,1.0,0.811
18.77368881131062,1.0,1.0,0.811
18.68255018555685,1.0,1.0,0.811
18.591831625537072,1.0,1.0,0.811
18.501531195132337,1.0,1.0,0.811
18.41164696714741,1.0,1.0,0.811
18.322177023269695,1.0,1.0,0.811
18.233119454028262,1.0,1.0,0.811
18.14447235875307,1.0,1.0,0.811
18.056233845534447,1.0,1.0,0.811
17.968402031182688,1.0,1.0,0.811
17.880975041187867,1.0,1.0,0.811
17.793951009679848,1.0,1.0,0.811
17.707328079388454,1.0,1.0,0.811
17.6211044016038,1.0,1.0,0.811
17.535278136136892,1.0,1.0,0.811
17.4498474512803,1.0,1.0,0.811
17.364810523769094,1.0,1.0,0.811
17.280165538741954,1.0,1.0,0.811
17.19591068970238,1.0,1.0,0.811
17.112044178480193,1.0,1.0,0.811
17.028564215193118,1.0,1.0,0.811
16.945469018208605,1.0,1.0,0.811
16.862756814105797,1.0,1.0,0.811
16.780425837637704,1.0,1.0,0.811
16.698474331693486,1.0,1.0,0.811
16.616900547261,1.0,1.0,0.811
16.535702743389432,1.0,1.0,0.811
16.454879187152166,1.0,1.0,0.811
16.374428153609788,1.0,1.0,0.811
16.294347925773298,1.0,1.0,0.811
16.214636794567415,1.0,1.0,0.811
16.13529305879416,1.0,1.0,0.811
16.05631502509651,1.0,1.0,0.811
15.977701007922256,1.0,1.0,0.811
15.899449329488068,1.0,1.0,0.811
15.821558319743634,1.0,1.0,0.811
15.744026316336079,1.0,1.0,0.811
15.666851664574445,1.0,1.0,0.811
15.590032717394372,1.0,1.0,0.811
15.513567835322974,1.0,1.0,0.811
15.43745538644383,1.0,1.0,0.811
15.361693746362157,1.0,1.0,0.811
15.28628129817016,1.0,1.0,0.811
15.21121643241251,1.0,1.0,0.811
15.136497547051984,1.0,1.0,0.811
15.062123047435293,1.0,1.0,0.811
14.988091346259038,1.0,1.0,0.811
14.914400863535832,1.0,1.0,0.811
14.841050026560607,1.0,1.0,0.811
14.768037269877,1.0,1.0,0.811
14.695361035243996,1.0,1.0,0.811
14.623019771602626,1.0,1.0,0.811
14.551011935042895,1.0,1.0,0.811
14.479335988770812,1.0,1.0,0.811
14.407990403075619,1.0,1.0,0.811
14.3369736552971,1.0,1.0,0.811
14.266284229793145,1.0,1.0,0.811
14.195920617907337,1.0,1.0,0.811
14.1258813179368,1.0,1.0,0.811
14.056164835100123,1.0,1.0,0.811
13.986769681505496,1.0,1.0,0.811
13.9176943761189,1.0,1.0,0.811
13.848937444732554,1.0,1.0,0.811
13.780497419933413,1.0,1.0,0.811
13.712372841071863,1.0,1.0,0.811
13.644562254230555,1.0,1.0,0.811
13.577064212193362,1.0,1.0,0.811
13.50987727441451,1.0,1.0,0.811
13.443000006987829,1.0,1.0,0.811
13.376430982616128,1.0,1.0,0.811
13.31016878058076,1.0,1.0,0.811
13.244211986711292,1.0,1.0,0.811
13.178559193355314,1.0,1.0,0.811
13.113208999348425,1.0,1.0,0.811
13.048160009984306,1.0,1.0,0.811
12.983410836984946,1.0,1.0,0.811
12.918960098471038,1.0,1.0,0.811
12.85480641893247,1.0,1.0,0.811
12.790948429198966,1.0,1.0,0.811
12.7273847664109,1.0,1.0,0.811
12.66411407399015,1.0,1.0,0.811
12.60113500161121,1.0,1.0,0.811
12.538446205172312,1.0,1.0,0.811
12.476046346766779,1.0,1.0,0.811
12.413934094654472,1.0,1.0,0.811
12.35210812323334,1.0,1.0,0.811
12.290567113011152,1.0,1.0,0.811
12.229309750577322,1.0,1.0,0.811
12.168334728574907,1.0,1.0,0.811
12.107640745672665,1.0,1.0,0.811
12.047226506537298,1.0,1.0,0.811
11.987090721805831,1.0,1.0,0.811
11.927232108058059,1.0,1.0,0.811
11.867649387789161,1.0,1.0,0.811
11.808341289382472,1.0,1.0,0.811
11.749306547082297,1.0,1.0,0.811
11.690543900966915,1.0,1.0,0.811
11.632052096921711,1.0,1.0,0.811
11.573829886612376,1.0,1.0,0.811
11.51587602745828,1.0,1.0,0.811
11.458189282605966,1.0,1.0,0.811
11.400768420902732,1.0,1.0,0.811
11.34361221687036,1.0,1.0,0.811
11.286719450678978,1.0,1.0,0.811
11.230088908121008,1.0,1.0,0.811
11.17371938058525,1.0,1.0,0.811
11.117609665031118,1.0,1.0,0.811
11.061758563962924,1.0,1.0,0.811
11.00616488540434,1.0,1.0,0.811
10.95082744287298,1.0,1.0,0.811
10.895745055355032,1.0,1.0,0.811
10.84091654728009,1.0,1.0,0.811
10.786340748496055,1.0,1.0,0.811
10.732016494244155,1.0,1.0,0.811
10.67794262513409,1.0,1.0,0.811
10.624117987119286,1.0,1.0,0.811
10.57054143147228,1.0,1.0,0.811
10.517211814760186,1.0,1.0,0.811
10.464127998820288,1.0,1.0,0.811
10.411288850735781,1.0,1.0,0.811
10.358693242811553,1.0,1.0,0.811
10.306340052550137,1.0,1.0,0.811
10.254228162627767,1.0,1.0,0.811
10.202356460870503,1.0,1.0,0.811
10.150723840230508,1.0,1.0,0.811
10.099329198762442,1.0,1.0,0.811
10.048171439599908,1.0,1.0,0.811
9.997249470932063,1.0,1.0,0.811
9.946562205980326,1.0,1.0,0.811
9.896108562975154,1.0,1.0,0.811
9.84588746513298,1.0,1.0,0.811
9.795897840633234,1.0,1.0,0.811
9.746138622595444,1.0,1.0,0.811
9.696608749056486,1.0,1.0,0.811
9.647307162947921,1.0,1.0,0.811
9.598232812073427,1.0,1.0,0.811
9.549384649086333,1.0,1.0,0.811
9.500761631467299,1.0,1.0,0.811
9.45236272150203,1.0,1.0,0.811
9.404186886259149,1.0,1.0,0.811
9.356233097568156,1.0,1.0,0.811
9.308500331997465,1.0,1.0,0.811
9.260987570832576,1.0,1.0,0.811
9.213693800054346,1.0,1.0,0.811
9.166618010317315,1.0,1.0,0.811
9.119759196928188,1.0,1.0,0.811
9.073116359824388,1.0,1.0,0.811
9.026688503552721,1.0,1.0,0.811
8.980474637248108,1.0,1.0,0.811
8.934473774612455,1.0,1.0,0.811
8.888684933893614,1.0,1.0,0.811
8.843107137864399,1.0,1.0,0.811
8.797739413801754,1.0,1.0,0.811
8.752580793465993,1.0,1.0,0.811
8.707630313080124,1.0,1.0,0.811
8.66288701330928,1.0,1.0,0.811
