parameter,R_hat,ESS,tau
Om,1.0130067653855697,2723,70.48810306531823
n,1.0174929531938244,2602,73.7700630775627
beta,1.013709642277095,1898,101.15586799320658
H0,1.0138037051992579,2693,71.27898679179157
