parameter,median,mean,std,q16,q84,q025,q975
Om,0.29493410394006003,0.2945401718168267,0.01883886849146806,0.27609707774816,0.3130153057633394,0.25630163415298934,0.3302518254059829
n,0.217341099306175,0.22736532582079225,0.12734577541967276,0.09226414640752811,0.3618574938883177,0.020941055793483473,0.4987409041119689
beta,0.4862169748540422,0.49038384675633345,0.28971498274897595,0.15264457021885972,0.8343863573017489,0.02275405010517118,0.9732049096291181
H0,68.32240077357974,68.29706773106122,1.1093392907479298,67.16704934383839,69.41439550153014,66.06980953681787,70.41341505977287
