z,E,Omega_m,Omega_Lambda,Qtilde
0.0,1.0,0.3,0.6999099999999999,-0.0954318561223685
0.0100200400801603,1.0045243204089298,0.3061977706359717,0.7027776778628951,-0.0967556074482246
0.0200400801603206,1.0090757295519228,0.3124930733513568,0.7056433204120648,-0.0980883988040591
0.0300601202404809,1.0136543608874429,0.3188869244570368,0.7085069194439161,-0.0994302460254872
0.0400801603206412,1.018260343411305,0.3253803415823569,0.7113684656465888,-0.1007811654103426
0.0501002004008016,1.0228938017770406,0.3319743436754799,0.7142279487119085,-0.1021411737296032
0.0601202404809619,1.0275548563479466,0.3386699509126987,0.7170853574013704,-0.1035102882178633
0.0701402805611222,1.0322436232725352,0.3454681846439577,0.7199406796238796,-0.1048885265702469
0.0801603206412825,1.0369602145818877,0.3523700673745539,0.72279390252374,-0.1062759069453729
0.0901803607214428,1.041704738218585,0.3593766226510044,0.7256450125242117,-0.107672447947818
0.1002004008016032,1.0464772981564532,0.3664888750831078,0.7284939954234192,-0.1090781686369379
0.1102204408817635,1.0512779944252268,0.373707850229824,0.7313408364302131,-0.1104930885073703
0.1202404809619238,1.0561069232068585,0.3810345745941937,0.7341855202406331,-0.1119172274903185
0.1302605210420841,1.0609641768938842,0.3884700755654755,0.7370280310891095,-0.1133506059433752
0.1402805611222445,1.06584984414004,0.3960153813517504,0.7398683527930182,-0.1147932446377858
0.1503006012024048,1.0707640099586822,0.4036715209892178,0.7427064688228515,-0.116245164759594
0.1603206412825651,1.075706755736611,0.4114395242236325,0.7455423623210445,-0.1177063878855882
0.1703406813627254,1.0806781593529846,0.4193204215579487,0.7483760161795825,-0.1191769359901197
0.1803607214428857,1.0856782951834465,0.4273152441229586,0.7512074130495233,-0.1206568314178295
0.1903807615230461,1.090707234211211,0.4354250237192181,0.7540365354099049,-0.1221460968878821
0.2004008016032064,1.095765044046853,0.4436507927165537,0.7568633655828185,-0.1236447554710819
0.2104208416833667,1.1008517890128409,0.4519935840594995,0.7596878857834732,-0.1251528305860812
0.220440881763527,1.1059675301907486,0.4604544312152964,0.7625100781474983,-0.1266703459844881
0.2304609218436873,1.1111123254742747,0.4690343681331136,0.7653299247600713,-0.1281973257376673
0.2404809619238476,1.1162862296441585,0.4777344292422325,0.7681474076955114,-0.1297337942300465
0.250501002004008,1.121489294393173,0.4865556493689864,0.770962509028103,-0.1312797761376276
0.2605210420841683,1.1267215684231378,0.49549906377701,0.7737752108808132,-0.1328352964279452
0.2705410821643286,1.1319830974490006,0.5045657080522521,0.776585495422318,-0.1344003803324821
0.280561122244489,1.1372739243104966,0.5137566181736214,0.7793933449207809,-0.1359750533511745
0.2905811623246493,1.14259408896277,0.5230728303775983,0.7821987417316099,-0.1375593412210293
0.3006012024048096,1.1479436285959723,0.5325153812483107,0.7850016683527746,-0.1391532699232767
0.3106212424849699,1.1533225776183176,0.5420853075711675,0.787802107406816,-0.1407568656500217
0.3206412825651302,1.1587309677789317,0.5517836464344447,0.7906000416953715,-0.1423701548127378
0.3306613226452906,1.164168828146943,0.5616114350777891,0.7933954541776296,-0.143993164008099
0.3406813627254509,1.1696361852351842,0.5715697110011163,0.7961883280229949,-0.1456259200271778
0.3507014028056112,1.1751330629767884,0.5816595118103105,0.7989786465869979,-0.1472684498209666
0.3607214428857715,1.1806594828491077,0.5918818753322541,0.8017663934619634,-0.1489207805101585
0.3707414829659318,1.1862154638479736,0.6022378394577921,0.8045515524506803,-0.1505829393504711
0.3807615230460922,1.1918010226119389,0.6127284422630366,0.8073341076153149,-0.1522549537431022
0.3907815631262525,1.197416173394208,0.6233547218494008,0.8101140432490369,-0.1539368511999136
0.4008016032064128,1.2030609281868314,0.6341177164704574,0.8128913439231773,-0.1556286593545076
0.4108216432865731,1.2087352966913711,0.6450184643708684,0.8156659944575193,-0.1573304059276371
0.4208416833667334,1.2144392864410622,0.6560580039149558,0.8184379799648938,-0.1590421187383562
0.4308617234468938,1.2201729027733494,0.6672373734304597,0.8212072858218238,-0.16076382567064
0.4408817635270541,1.2259361489456049,0.678557611330103,0.8239738977086011,-0.1624955546833253
0.4509018036072144,1.2317290261152831,0.690019755971492,0.8267378015831662,-0.1642373337797046
0.4609218436873747,1.2375515334421625,0.7016248457574327,0.8294989837135066,-0.1659891910141718
0.470941883767535,1.2434036680842673,0.7133739190285359,0.8322574306586971,-0.1677511544672796
0.4809619238476953,1.2492854252776646,0.7252680141236016,0.8350131292896519,-0.1695232522464081
0.4909819639278557,1.2551967983574717,0.7373081693245358,0.8377660667816504,-0.1713055124691291
0.501002004008016,1.2611377788061544,0.7494954228571772,0.8405162306195725,-0.173097963255174
0.5110220440881763,1.267108356307591,0.7618308129061993,0.8432636086054461,-0.1749006327205483
0.5210420841683366,1.2731085187579738,0.7743153775424676,0.8460081888458847,-0.1767135489590097
0.531062124248497,1.2791382523555124,0.786950154815125,0.8487499597755923,-0.1785367400477554
0.5410821643286573,1.2851975415761188,0.7997361826079235,0.8514889101284852,-0.1803702340190497
0.5511022044088176,1.291286369290074,0.8126744987922558,0.854225028972931,-0.1822140588748981
0.561122244488978,1.2974047167190457,0.8257661410454846,0.8569583056744776,-0.1840682425538129
0.5711422845691383,1.303552563554798,0.8390121470133703,0.859688729931443,-0.1859328129469523
0.5811623246492986,1.3097298879293915,0.8524135541575953,0.8624162917437396,-0.1878077978696668
0.5911823647294588,1.3159366665014918,0.8659713998534471,0.8651409814335612,-0.1896932250686562
0.6012024048096192,1.322172874471501,0.8796867213361653,0.8678627896342763,-0.1915891222079474
0.6112224448897795,1.3284384856106477,0.8935605556778655,0.8705817072856801,-0.1934955168594964
0.6212424849699398,1.334733472335212,0.9075939398663316,0.8732977256487837,-0.1954124365079415
0.6312625250501002,1.3410578056785327,0.9217879106583684,0.8760108362762777,-0.1973399085246342
0.6412825651302605,1.3474114554061785,0.9361435047537268,0.8787210310449015,-0.1992779601856837
0.6513026052104208,1.353794389968296,0.9506617586058688,0.8814283021177476,-0.201226618640769
0.6613226452905812,1.3602065766029507,0.965343708573929,0.8841326419713622,-0.2031859109283958
0.6713426853707415,1.366647981328324,0.9801903908252032,0.8868340433753832,-0.2051558639576349
0.6813627254509018,1.3731185689808922,0.9952028413424784,0.8895324993919748,-0.2071365045042692
0.6913827655310621,1.379618303281686,1.0103820959991368,0.8922280033868877,-0.2091278592159454
0.7014028056112224,1.3861471468026665,1.0257291904030432,0.8949205489990233,-0.2111299545871044
0.7114228456913827,1.3927050610804472,1.0412451600859376,0.8976101301713162,-0.2131428169794471
0.721442885771543,1.3992920065699586,1.05693104031908,0.9002967411154349,-0.2151664725936914
0.7314629258517034,1.4059079427270107,1.0727878662334454,0.9029803763298304,-0.2172009474812407
0.7414829659318637,1.412552828027422,1.088816672792503,0.9056610305916638,-0.2192462675367623
0.751503006012024,1.4192266199628878,1.1050184947087134,0.9083386989396836,-0.2213024584839307
0.7615230460921844,1.4259292751387525,1.1213943666083286,0.9110133766982732,-0.2233695458929231
0.7715430861723447,1.432660749219718,1.1379453228285683,0.9136850594404898,-0.2254475551513992
0.781563126252505,1.4394209970270253,1.154672397584827,0.9163537430120084,-0.2275365114825254
0.7915831663326653,1.446209972535876,1.1715766248963164,0.9190194235152196,-0.2296364399325758
0.8016032064128256,1.453027628883174,1.1886590385362497,0.9216820972978916,-0.2317473653620108
0.8116232464929859,1.459873918456128,1.2059206721863034,0.9243417609735824,-0.2338693124619313
0.8216432865731462,1.4667487928362803,1.223362559230004,0.9269984113856689,-0.2360023057260743
0.8316633266533066,1.4736522028940406,1.2409857329255225,0.9296520456303052,-0.2381463694697573
0.8416833667334669,1.480584098788166,1.2587912263411911,0.932302661042416,-0.2403015278196851
0.8517034068136272,1.4875444299624307,1.2767800722826452,0.9349502551811006,-0.2424678047031359
0.8617234468937875,1.4945331452387407,1.2949533034704583,0.93759482585198,-0.2446452238674714
0.8717434869739479,1.5015501927613988,1.3133119523346566,0.9402363710729456,-0.2468338088536043
0.8817635270541082,1.5085955200731205,1.3318570511511791,0.9428748890902876,-0.2490335830107749
0.8917835671342685,1.5156690741393894,1.3505896320473314,0.9455103783751578,-0.2512445694955527
0.9018036072144288,1.522770801315454,1.3695107268552464,0.9481428375989632,-0.2534667912531499
0.9118236472945892,1.5299006474476329,1.3886213673227754,0.9507722656590264,-0.2557002710410127
0.9218436873747494,1.5370585578334577,1.4079225849511203,0.9533986616518024,-0.2579450314085248
0.9318637274549098,1.544244477254029,1.4274154110244983,0.9560220248732848,-0.2602010946995399
0.94188376753507,1.551458350040542,1.4471008767357785,0.9586423548318596,-0.2624684830659449
0.9519038076152304,1.558700120015763,1.4669800129731725,0.9612596512156948,-0.2647472184421775
0.9619238476953909,1.565969730578505,1.487053850496971,0.9638739139125242,-0.2670373225649191
0.9719438877755512,1.5732671247132402,1.507323419915036,0.9664851430021496,-0.2693388169695261
0.9819639278557114,1.5805922449582557,1.5277897515422527,0.969093338734488,-0.271651722973572
0.9919839679358716,1.587945033501391,1.5484538756162234,0.9716985015534712,-0.2739760617008795
1.002004008016032,1.5953254321446493,1.5693168221495706,0.9743006320741412,-0.2763118540644022
1.0120240480961924,1.6027333823181016,1.590379620918864,0.9768997310777444,-0.2786591207648383
1.0220440881763526,1.6101688251554869,1.6116433016315004,0.9794957995285546,-0.2810178823090459
1.032064128256513,1.617631701437284,1.633108893716768,0.9820888385442784,-0.283388158986654
1.0420841683366733,1.625121951645023,1.6547774264338344,0.9846788494057992,-0.2857699708821238
1.0521042084168335,1.6326395160050071,1.6766499289536845,0.9872658335630676,-0.2881633378837176
