chain,phase,acceptance
0,pilot,0.5342857142857143
1,pilot,0.5314285714285715
2,pilot,0.5414285714285715
3,pilot,0.5042857142857143
0,final,0.33588235294117647
1,final,0.3335294117647059
2,final,0.3129411764705882
3,final,0.3523529411764706
