z,H_dvch,H_camb,rel_diff,Omega_m_dvch
0.0,69.02999999999999,69.03,2.0586490967987836e-16,0.3
0.05,70.64393027988763,70.64391436996031,2.252129918800012e-07,0.3472873896828653
0.1,72.37760894253857,72.37757598098231,4.554111658343043e-07,0.3992997683329144
0.15000000000000002,74.22987681484913,74.22982559390886,6.9003180148578e-07,0.45626213544539124
0.2,76.19913054494648,76.19905979925949,9.284325447567416e-07,0.5183994904776527
0.25,78.28339923208551,78.28330764416913,1.1699546064567986e-06,0.5859368329107485
0.30000000000000004,80.48041775596248,80.48030396167805,1.413939545818671e-06,0.6590991622235457
0.35000000000000003,82.78769493199307,82.78755752519608,1.6597517924476855e-06,0.7381114778919535
0.4,85.20257522668152,85.20241276313804,1.9067951036410502e-06,0.8231987793878551
0.45,87.7222933219272,87.72210432267406,2.1545225641772226e-06,0.9145860661744585
0.5,90.34402128484767,90.34380423779355,2.4024564379681554e-06,1.0124983377497911
0.55,93.06490846002146,93.0646618230035,2.650168314381051e-06,1.1171605935759568
0.6000000000000001,95.88211447860974,95.88183668062716,2.8972951728267533e-06,1.2287978331303708
0.65,98.79283594329115,98.79252538623257,3.143527887043469e-06,1.3476350558737016
0.7000000000000001,101.79432745906513,101.79398251742016,3.388625107670914e-06,1.473897261321794
0.75,104.88391770837251,104.8835367319459,3.632375856908331e-06,1.607809448912432
0.8,108.05902128378546,108.05860259743592,3.874623023705417e-06,1.749596618120327
0.8500000000000001,111.31714693654835,111.31668884048936,4.1152504962518926e-06,1.8994837684306562
0.9,114.65590285879068,114.65540362915928,4.3541744706266245e-06,2.0576958993228978
0.9500000000000001,118.07299954926197,118.07245743855482,4.591339241213615e-06,2.2244580102727043
1.0,121.56625074385985,121.56566398121713,4.826713592554531e-06,2.399995100756211
1.05,125.1335728251243,125.13293961659666,5.060286520764316e-06,2.5845321702488526
1.1,128.77298306149754,128.77230159039934,5.292062732339665e-06,2.778294218219035
1.1500000000000001,132.48259696927389,132.48186539653724,5.522059449047394e-06,2.981506244125958
1.2000000000000002,136.26062503864384,136.2598415027703,5.750306655887333e-06,3.1943932474406207
1.25,140.10536901995596,140.1045316360823,5.976850740516506e-06,3.417180227699242
1.3,144.01521792367336,144.0143247852039,6.201733548261349e-06,3.650092184356923
1.35,147.9886438651691,147.98769304502898,6.424994677387364e-06,3.8933541167991566
1.4000000000000001,152.0241978530833,152.0231874003838,6.6467011828701905e-06,4.147191024625187
1.4500000000000002,156.12050558093222,156.11943352406848,6.866902086014998e-06,4.411827907256258
1.5,160.27626329887667,160.27512764565267,7.085648538730254e-06,4.687489764110547
1.55,164.49023379782685,164.48903253257535,7.303011228165284e-06,4.974401594810829
1.6,168.7612425242721,168.75997361311605,7.519029120940768e-06,5.272788398634949
1.6500000000000001,173.0881738761822,173.08683526128246,7.73377650424001e-06,5.582875175270221
1.7000000000000002,177.46996765078785,177.4685572561703,7.947292970411267e-06,5.904886924004718
1.75,181.90561569487022,181.90413142252413,8.15964065512355e-06,6.239048644418047
1.8,186.39415872366112,186.39259845475775,8.370873716609995e-06,6.585585336018491
1.85,190.93468332542463,190.9330449233117,8.581029614727283e-06,6.944721998090941
1.9000000000000001,195.52631915515565,195.52460045972217,8.79017489073375e-06,7.316683630377858
1.9500000000000002,200.16823628187305,200.16643511496537,8.998346334380333e-06,7.701695232206687
2.0,204.85964271916484,204.85775688438642,9.205581507389996e-06,8.099981802921667
