beta_fixed,log10_beta,chi2,Omega_m0,H0,n_dvch
1e-06,-6.0,1493.7574765592153,0.35359864562061916,70.1981396067986,0.10928447190655431
1e-05,-5.0,1493.7573510166928,0.35359562344607565,70.19728992570363,0.10927776725516333
0.0001,-4.0,1493.7560964418994,0.3536026710825988,70.198364486358,0.10938211780323656
0.001,-3.0,1493.743821053363,0.3535730825616174,70.2016818357207,0.1102611221607959
0.01,-2.0,1493.6448561391649,0.3533392856700216,70.23495979708201,0.11891971614686173
