n,beta,viable,z_t,Qtilde_max_z0_5
0.05,1e-06,True,0.772177211318826,-0.03133948659897299
0.05,2.1544346900318822e-06,True,0.7721753859235824,-0.031339269435180984
0.05,4.641588833612782e-06,True,0.7721714532775449,-0.03133880157167785
0.05,9.999999999999999e-06,True,0.772162980874981,-0.03133779359822459
0.05,2.1544346900318823e-05,True,0.7721447286881501,-0.031335622021955715
0.05,4.641588833612772e-05,True,0.7721054104218278,-0.03133094367307453
0.05,0.0001,True,0.7720207244187264,-0.031320865266643745
0.05,0.00021544346900318823,True,0.7718383789263509,-0.03129915566755974
0.05,0.00046415888336127773,True,0.7714460138396201,-0.03125240077869212
0.05,0.001,True,0.7706029378177545,0.027775102174111835
0.05,0.002154434690031882,True,0.768818680906673,0.37349140894309774
0.05,0.004641588833612777,True,0.7650459290602472,0.8940445737722142
0.05,0.01,True,0.7571255948689393,1.4296129931831247
0.05,0.021544346900318822,True,0.7411614044082002,1.6256764662346421
0.05,0.046415888336127725,True,0.7110177437177246,1.3430182307709673
0.05,0.1,True,0.6602672954395463,0.9287545093027788
0.07500000000000001,1e-06,True,0.8296990080572345,-0.04467578310497081
0.07500000000000001,2.1544346900318822e-06,True,0.8296969237119873,-0.044675576721180256
0.07500000000000001,4.641588833612782e-06,True,0.8296924331851955,-0.0446751320824016
0.07500000000000001,9.999999999999999e-06,True,0.8296827589117005,-0.04467417414470786
0.07500000000000001,2.1544346900318823e-05,True,0.8296619175893949,-0.044672110365392995
0.07500000000000001,4.641588833612772e-05,True,0.8296170222065828,-0.04466766424955212
0.07500000000000001,0.0001,True,0.8295203253407671,-0.044658086134789686
0.07500000000000001,0.00021544346900318823,True,0.8293121248839603,-0.04463745419928468
0.07500000000000001,0.00046415888336127773,True,0.828864157238969,-0.04459302022112014
0.07500000000000001,0.001,True,0.8279017521887827,-0.04449736514779394
0.07500000000000001,0.002154434690031882,True,0.8258407926574818,0.19963972760170112
0.07500000000000001,0.004641588833612777,True,0.8215254179571917,0.7782275062987174
0.07500000000000001,0.01,True,0.8125056306304066,1.4118129078998463
0.07500000000000001,0.021544346900318822,True,0.7943603825847488,1.711366345824764
0.07500000000000001,0.046415888336127725,True,0.7603225986319947,1.4700779647453375
0.07500000000000001,0.1,True,0.703563058290289,1.0124170062708353
0.1,1e-06,True,0.8924273701696946,-0.05675066956484415
0.1,2.1544346900318822e-06,True,0.8924249830052254,-0.056750472941431464
0.1,4.641588833612782e-06,True,0.8924198400867344,-0.05675004933067292
0.1,9.999999999999999e-06,True,0.892408760336384,-0.056749136696119744
0.1,2.1544346900318823e-05,True,0.8923848912771192,-0.05674717051781277
0.1,4.641588833612772e-05,True,0.8923334740909079,-0.05674293466931205
0.1,0.0001,True,0.8922227322624686,-0.05673380952626402
0.1,0.00021544346900318823,True,0.8919842999113351,-0.05671415332381599
0.1,0.00046415888336127773,True,0.8914713249114312,-0.05667182073363501
0.1,0.001,True,0.8903694441475792,-0.05658068941510094
0.1,0.002154434690031882,True,0.8880106468093087,-0.01556977671672762
0.1,0.004641588833612777,True,0.8830208350907702,0.6201074193273256
0.1,0.01,True,0.8727211254999784,1.3574800486986716
0.1,0.021544346900318822,True,0.8520353835996045,1.7781276258253986
0.1,0.046415888336127725,True,0.8135024023840618,1.597258055440934
0.1,0.1,True,0.7499449410517716,1.1059288836514023
0.125,1e-06,True,0.9610507368943776,-0.06773502968271015
