z,E,H_km_s_Mpc,Omega_m,Omega_Lambda,Omega_r,Qtilde,w_eff,q,D_L_Mpc
0.0,0.9999999999999999,69.99999999999999,0.29999999999999993,0.6999099999999999,9e-05,-0.09543185612236851,-0.8636512464140125,-0.54982,0.0
0.0001,1.000045019359726,70.00315135518082,0.3000613752738103,0.6999386294669839,9.003600540036e-05,-0.09544502255688751,-0.8636441512748101,-0.549768404267324,0.4283081266321995
0.00010040844420223116,1.0000452032441294,70.00316422708906,0.30006162597718167,0.6999387464019257,9.003615248447931e-05,-0.09544507633624985,-0.8636441222967022,-0.5497681935257579,0.4300576624416632
0.00010081855667112557,1.000045387879643,70.003177151575,0.3000618777046978,0.6999388638144781,9.003630016953647e-05,-0.09544513033528597,-0.8636440932002476,-0.5497679819234147,0.43181434524272233
0.00010123034422062193,1.0000455732693352,70.00319012885346,0.3000621304605431,0.6999389817065921,9.003644845798753e-05,-0.09544518455489326,-0.8636440639849633,-0.5497677694567789,0.4335782042359692
0.0001016438136924896,1.0000457594162864,70.00320315914004,0.300062384248919,0.6999391000802259,9.00365973522984e-05,-0.09544523899597267,-0.8636440346503638,-0.5497675561223194,0.4353492687413368
0.0001020589719564432,1.0000459463235905,70.00321624265133,0.30006263907404424,0.6999392189373465,9.003674685494527e-05,-0.095445293659429,-0.863644005195962,-0.5497673419164926,0.437127568198591
0.00010247582591025591,1.0000461339943532,70.00322937960472,0.3000628949401547,0.6999393382799288,9.003689696841437e-05,-0.09544534854617068,-0.8636439756212686,-0.5497671268357385,0.4389131321678166
0.00010289438247987486,1.0000463224316933,70.00324257021853,0.30006315185150356,0.6999394581099554,9.003704769520208e-05,-0.09544540365710981,-0.8636439459257924,-0.5497669108764839,0.44070599032991326
0.00010331464861953535,1.0000465116387418,70.00325581471192,0.30006340981236135,0.6999395784294171,9.003719903781504e-05,-0.09544545899316216,-0.8636439161090402,-0.5497666940351399,0.4425061724870857
0.00010373663131187734,1.0000467016186436,70.00326911330505,0.3000636688270163,0.6999396992403133,9.003735099877008e-05,-0.09544551455524747,-0.8636438861705169,-0.5497664763081038,0.4443137085633437
0.0001041603375680605,1.0000468923745551,70.00328246621886,0.3000639288997738,0.6999398205446508,9.003750358059432e-05,-0.09544557034428891,-0.863643856109725,-0.549766257691758,0.44612862860499636
0.00010458577442788165,1.000047083909647,70.00329587367528,0.3000641900349571,0.6999399423444453,9.00376567858254e-05,-0.09544562636121379,-0.8636438259261654,-0.5497660381824703,0.4479509627811564
0.0001050129489598909,1.0000472762271015,70.00330933589711,0.30006445223690703,0.6999400646417204,9.003781061701098e-05,-0.09544568260695288,-0.8636437956193368,-0.549765817776593,0.44978074138423824
0.00010544186826150943,1.0000474693301147,70.00332285310803,0.3000647155099822,0.6999401874385078,9.00379650767095e-05,-0.09544573908244092,-0.8636437651887356,-0.5497655964704635,0.4516179948304646
0.00010587253945914778,1.0000476632218958,70.00333642553271,0.3000649798585589,0.6999403107368478,9.003812016748961e-05,-0.09544579578861646,-0.8636437346338566,-0.5497653742604054,0.4534627536603738
0.00010630496970832345,1.0000478579056666,70.00335005339666,0.30006524528703155,0.6999404345387891,9.003827589193063e-05,-0.09544585272642189,-0.8636437039541921,-0.5497651511427262,0.45531504853932486
0.00010673916619378068,1.000048053384663,70.0033637369264,0.3000655117998122,0.6999405588463885,9.003843225262235e-05,-0.09544590989680346,-0.8636436731492327,-0.549764927113719,0.4571749102580121
0.00010717513612960896,1.0000482496621326,70.00337747634929,0.3000657794013314,0.6999406836617112,9.003858925216518e-05,-0.09544596730071114,-0.8636436422184667,-0.5497647021696608,0.4590423697329738
0.00010761288675936369,1.0000484467413373,70.0033912718936,0.30006604809603726,0.6999408089868309,9.003874689317008e-05,-0.09544602493909891,-0.8636436111613804,-0.5497644763068141,0.46091745800711
0.0001080524253561858,1.0000486446255528,70.0034051237887,0.30006631788839655,0.69994093482383,9.00389051782588e-05,-0.09544608281292473,-0.863643579977458,-0.5497642495214263,0.46280020625019674
0.00010849375922292328,1.0000488433180668,70.00341903226467,0.300066588782894,0.6999410611747992,9.003906411006372e-05,-0.09544614092315028,-0.8636435486661815,-0.5497640218097288,0.4646906457594078
0.00010893689569225194,1.0000490428221815,70.00343299755271,0.3000668607840327,0.6999411880418376,9.003922369122818e-05,-0.09544619927074131,-0.8636435172270309,-0.5497637931679384,0.46658880795983315
0.00010938184212679744,1.0000492431412125,70.00344701988487,0.30006713389633427,0.699941315427053,9.003938392440595e-05,-0.09544625785666748,-0.8636434856594839,-0.5497635635922562,0.46849472440500256
0.00010982860591925798,1.000049444278488,70.00346109949416,0.30006740812433874,0.6999414433325618,9.003954481226214e-05,-0.09544631668190232,-0.8636434539630164,-0.5497633330788669,0.47040842677741346
0.00011027719449252639,1.0000496462373514,70.00347523661459,0.30006768347260476,0.6999415717604894,9.003970635747232e-05,-0.09544637574742353,-0.8636434221371019,-0.549763101623941,0.47232994688905416
0.00011072761529981429,1.0000498490211582,70.00348943148107,0.30006795994570945,0.6999417007129691,9.003986856272329e-05,-0.0954464350542126,-0.8636433901812116,-0.5497628692236325,0.474259316681938
0.00011117987582477509,1.0000500526332787,70.00350368432952,0.30006823754824885,0.6999418301921442,9.00400314307127e-05,-0.09544649460325524,-0.863643358094815,-0.5497626358740797,0.47619656822863077
0.00011163398358162918,1.0000502570770964,70.00351799539675,0.3000685162848375,0.6999419602001647,9.004019496414923e-05,-0.09544655439554095,-0.863643325877379,-0.5497624015714057,0.47814173373278873
0.00011208994611528791,1.0000504623560087,70.0035323649206,0.3000687961601092,0.6999420907391917,9.004035916575279e-05,-0.09544661443206345,-0.8636432935283687,-0.5497621663117169,0.48009484552969117
0.00011254777100147984,1.0000506684734267,70.00354679313988,0.3000690771787163,0.6999422218113932,9.004052403825422e-05,-0.09544667471382041,-0.8636432610472466,-0.5497619300911044,0.48205593608678227
0.00011300746584687567,1.0000508754327764,70.00356128029435,0.3000693593453304,0.6999423534189475,9.004068958439559e-05,-0.09544673524181374,-0.8636432284334735,-0.5497616929056436,0.48402503800420765
0.00011346903828921558,1.0000510832374963,70.00357582662474,0.3000696426646421,0.6999424855640408,9.004085580693027e-05,-0.09544679601704921,-0.8636431956865076,-0.5497614547513929,0.4860021840153618
0.00011393249599743534,1.0000512918910403,70.00359043237282,0.30006992714136127,0.6999426182488689,9.004102270862284e-05,-0.09544685704053693,-0.8636431628058048,-0.5497612156243958,0.4879874069874289
0.00011439784667179399,1.0000515013968758,70.0036050977813,0.3000702127802169,0.6999427514756362,9.004119029224918e-05,-0.09544691831329102,-0.8636431297908193,-0.5497609755206787,0.48998073992193175
0.00011486509804400223,1.000051711758484,70.00361982309387,0.3000704995859574,0.699942885246556,9.004135856059647e-05,-0.09544697983632963,-0.8636430966410026,-0.549760734436252,0.4919822159552828
0.00011533425787734997,1.000051922979361,70.00363460855527,0.3000707875633505,0.6999430195638509,9.004152751646329e-05,-0.09544704161067528,-0.8636430633558042,-0.5497604923671099,0.4939918683593321
0.00011580533396683634,1.000052135063017,70.00364945441119,0.3000710767171836,0.6999431544297525,9.004169716265992e-05,-0.0954471036373546,-0.8636430299346712,-0.5497602493092301,0.4960097305419263
0.0001162783341392982,1.0000523480129764,70.00366436090835,0.3000713670522634,0.6999432898465019,9.004186750200769e-05,-0.09544716591739842,-0.8636429963770487,-0.5497600052585745,0.49803583604745905
0.00011675326625354113,1.0000525618327778,70.00367932829445,0.30007165857341644,0.6999434258163483,9.004203853733987e-05,-0.09544722845184164,-0.8636429626823791,-0.5497597602110874,0.5000702185574355
0.00011723013820046911,1.0000527765259748,70.00369435681823,0.30007195128548897,0.699943562341551,9.004221027150103e-05,-0.09544729124172356,-0.8636429288501029,-0.5497595141626976,0.5021129118910277
0.0001177089579032165,1.0000529920961354,70.00370944672947,0.300072245193347,0.6999436994243787,9.004238270734763e-05,-0.09544735428808776,-0.8636428948796582,-0.5497592671093167,0.5041639500056425
0.00011818973331727878,1.0000532085468417,70.00372459827892,0.30007254030187647,0.6999438370671085,9.004255584774767e-05,-0.09544741759198189,-0.8636428607704809,-0.5497590190468394,0.5062233669974827
0.00011867247243064567,1.0000534258816907,70.00373981171835,0.3000728366159832,0.6999439752720273,9.004272969558082e-05,-0.09544748115445802,-0.8636428265220043,-0.5497587699711444,0.5082911971021187
0.00011915718326393301,1.0000536441042942,70.00375508730059,0.3000731341405932,0.6999441140414315,9.004290425373865e-05,-0.09544754497657246,-0.8636427921336598,-0.5497585198780925,0.5103674746950552
0.00011964387387051639,1.000053863218279,70.00377042527953,0.3000734328806526,0.6999442533776262,9.004307952512447e-05,-0.09544760905938589,-0.8636427576048761,-0.5497582687635287,0.512452234292305
0.00012013255233666528,1.000054083227286,70.00378582591001,0.30007373284112754,0.699944393282927,9.00432555126536e-05,-0.09544767340396329,-0.8636427229350797,-0.5497580166232805,0.5145455105509655
0.00012062322678167657,1.0000543041349716,70.00380128944802,0.30007403402700467,0.6999445337596581,9.004343221925318e-05,-0.09544773801137403,-0.8636426881236949,-0.5497577634531582,0.516647338269792
0.00012111590535801047,1.0000545259450067,70.00381681615046,0.300074336443291,0.6999446748101531,9.004360964786228e-05,-0.09544780288269171,-0.8636426531701437,-0.5497575092489547,0.5187577523897812
0.00012161059625142491,1.0000547486610776,70.00383240627544,0.30007464009501394,0.699944816436756,9.004378780143203e-05,-0.09544786801899449,-0.8636426180738452,-0.549757254006447,0.520876787994749
0.0001221073076811126,1.000054972286886,70.003848060082,0.3000749449872216,0.6999449586418195,9.004396668292576e-05,-0.0954479334213649,-0.8636425828342168,-0.5497569977213939,0.5230044803119195
0.00012260604789983653,1.000055196826147,70.00386377783029,0.3000752511249824,0.6999451014277062,9.004414629531867e-05,-0.09544799909088975,-0.8636425474506731,-0.5497567403895365,0.525140864712506
0.00012310682519406818,1.0000554222825935,70.00387955978154,0.30007555851338585,0.6999452447967889,9.004432664159838e-05,-0.09544806502866059,-0.8636425119226265,-0.5497564820065994,0.5272859767123055
0.0001236096478841242,1.000055648659971,70.00389540619797,0.300075867157542,0.6999453887514488,9.004450772476453e-05,-0.09544813123577303,-0.863642476249487,-0.5497562225682892,0.5294398519722859
0.00012411452432430512,1.0000558759620426,70.00391131734298,0.30007617706258194,0.6999455332940784,9.004468954782923e-05,-0.09544819771332752,-0.8636424404306619,-0.5497559620702953,0.5316025262991817
0.00012462146290303453,1.0000561041925846,70.00392729348093,0.30007648823365757,0.6999456784270783,9.00448721138167e-05,-0.09544826446242866,-0.8636424044655565,-0.5497557005082887,0.5337740356460916
0.0001251304720429975,1.000056333355391,70.00394333487736,0.3000768006759421,0.6999458241528608,9.00450554257638e-05,-0.095448331484186,-0.8636423683535736,-0.5497554378779242,0.5359544161130736
0.00012564156020128162,1.0000565634542693,70.00395944179886,0.30007711439462975,0.6999459704738467,9.004523948671942e-05,-0.09544839877971327,-0.8636423320941131,-0.5497551741748372,0.5381437039477505
0.00012615473586951638,1.0000567944930439,70.00397561451307,0.30007742939493587,0.6999461173924666,9.004542429974524e-05,-0.0954484663501288,-0.8636422956865732,-0.5497549093946467,0.5403419355459089
0.00012667000757401545,1.000057026475554,70.00399185328878,0.3000777456820973,0.6999462649111619,9.004560986791537e-05,-0.09544853419655562,-0.863642259130349,-0.5497546435329524,0.5425491474521107
0.00012718738387591715,1.000057259405655,70.00400815839585,0.30007806326137204,0.6999464130323831,9.00457961943166e-05,-0.09544860232012124,-0.8636422224248334,-0.5497543765853372,0.544765376360296
0.00012770687337132784,1.0000574932872177,70.00402453010524,0.30007838213804,0.6999465617585915,9.00459832820481e-05,-0.09544867072195783,-0.8636421855694167,-0.5497541085473656,0.5469906591143995
0.00012822848469146357,1.0000577281241292,70.00404096868904,0.3000787023174023,0.6999467110922581,9.004617113422192e-05,-0.0954487394032022,-0.8636421485634871,-0.5497538394145837,0.549225032708959
0.00012875222650279473,1.0000579639202918,70.00405747442042,0.3000790238047819,0.6999468610358638,9.004635975396274e-05,-0.0954488083649957,-0.8636421114064297,-0.5497535691825195,0.5514685342897366
0.00012927810750718892,1.0000582006796244,70.00407404757371,0.3000793466055234,0.6999470115919001,9.004654914440817e-05,-0.09544887760848449,-0.8636420740976276,-0.5497532978466833,0.5537212011543334
0.00012980613644205606,1.0000584384060613,70.0040906884243,0.30007967072499336,0.6999471627628681,9.004673930870842e-05,-0.09544894713481931,-0.8636420366364611,-0.549753025402566,0.5559830707528116
0.00013033632208049391,1.0000586771035538,70.00410739724876,0.3000799961685803,0.6999473145512796,9.004693025002681e-05,-0.09544901694515567,-0.8636419990223081,-0.5497527518456414,0.5582541806883209
0.0001308686732314329,1.0000589167760678,70.00412417432474,0.3000803229416946,0.6999474669596562,9.004712197153946e-05,-0.09544908704065368,-0.8636419612545438,-0.5497524771713633,0.5605345687177198
0.00013140319873978352,1.0000591574275872,70.00414101993111,0.300080651049769,0.6999476199905302,9.004731447643552e-05,-0.09544915742247836,-0.8636419233325411,-0.5497522013751683,0.5628242727522098
0.0001319399074865823,1.000059399062111,70.00415793434776,0.30008098049825815,0.6999477736464442,9.004750776791723e-05,-0.09544922809179937,-0.8636418852556701,-0.5497519244524736,0.5651233308579621
0.0001324788083891404,1.0000596416836545,70.0041749178558,0.30008131129263926,0.6999479279299511,9.004770184919989e-05,-0.09544929904979113,-0.8636418470232985,-0.5497516463986777,0.5674317812567559
0.00013301991040119064,1.0000598852962503,70.00419197073752,0.30008164343841187,0.6999480828436142,9.004789672351196e-05,-0.09544937029763305,-0.8636418086347912,-0.5497513672091607,0.5697496623266107
0.00013356322251303738,1.0000601299039469,70.00420909327629,0.3000819769410979,0.6999482383900072,9.004809239409505e-05,-0.0954494418365091,-0.8636417700895109,-0.5497510868792836,0.5720770126024295
